Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
55,Reed Baker-Whiting,us USA,MF,Seattle,17-092,2005,1,13,20,65,180,47,8,8,100,5,8,62.5,0,3,0,0,0,0,1,0,0,0,1,Matches,816d7aec
56,Michael Baldisimo,ca CAN,MF,Vancouver,22-079,2000,3.5,130,162,80.2,2951,868,46,53,86.8,49,58,84.5,31,45,68.9,0,0.3,-0.3,2,16,4,0,20,Matches,894b41c5
57,Tom Barlow,us USA,FW,NY Red Bulls,26-358,1995,7.9,115,182,63.2,1696,331,73,103,70.9,35,55,63.6,4,10,40,0,0.3,-0.3,5,11,3,0,13,Matches,da4821de
58,Álvaro Barreal,ar ARG,FWDF,FC Cincinnati,21-318,2000,9.1,312,431,72.4,5575,1782,164,190,86.3,99,128,77.3,41,86,47.7,0,1.2,-1.2,14,22,15,7,26,Matches,ffca53e1
59,Michael Barrios,co COL,FW,Colorado Rapids,31-071,1991,10.1,172,274,62.8,3250,875,79,105,75.2,68,95,71.6,23,55,41.8,3,3.4,-0.4,18,13,12,4,25,Matches,df782c79
60,Ethan Bartlow,us USA,DFMF,Houston Dynamo,22-149,2000,5.8,224,262,85.5,5132,1411,44,51,86.3,132,137,96.4,46,72,63.9,0,0.2,-0.2,3,14,0,0,12,Matches,552898bd
61,Zorhan Bassong,ca CAN,DF,CF Montréal,23-055,1999,1.9,89,114,78.1,1360,452,52,60,86.7,32,41,78,5,11,45.5,0,0.3,-0.3,2,3,2,1,7,Matches,6297d826
62,Tanner Beason,us USA,DF,San Jose,25-100,1997,9.2,482,540,89.3,10805,2911,119,128,93,259,278,93.2,101,124,81.5,0,0.2,-0.2,2,28,1,1,28,Matches,3f1b018e
63,Alejandro Bedoya,us USA,MF,Philadelphia,35-063,1987,15.9,429,610,70.3,7065,3481,216,280,77.1,169,231,73.2,31,56,55.4,2,3.8,-1.8,25,40,32,13,84,Matches,9a6f8dfd
64,Steven Beitashour,ir IRN,DF,Colorado Rapids,35-150,1987,6.7,226,289,78.2,4109,1765,90,104,86.5,111,132,84.1,22,43,51.2,1,0,1,0,8,2,0,22,Matches,64f1680a
65,Jon Bell,us USA,DF,New England,24-309,1997,5.5,211,258,81.8,4574,1363,57,64,89.1,116,131,88.5,36,57,63.2,0,0,0,0,9,0,0,10,Matches,658a3134
66,Ben Bender,us USA,MF,Charlotte FC,21-116,2001,12.9,388,489,79.3,6686,1737,202,230,87.8,132,151,87.4,43,70,61.4,3,1.8,1.2,22,31,20,5,45,Matches,bc307884
67,Sebastian Berhalter,us USA,MF,Vancouver,21-045,2001,8.9,327,435,75.2,7571,2069,108,118,91.5,132,164,80.5,82,133,61.7,0,0.2,-0.2,5,45,11,1,31,Matches,f33ee427
68,Miguel Berry,es ESP,FW,Columbus Crew,24-288,1997,10.8,121,168,72,1662,320,62,81,76.5,37,51,72.5,5,13,38.5,0,0.7,-0.7,8,3,1,0,9,Matches,a5532e80
69,Nick Besler,us USA,MFDF,Real Salt Lake,29-055,1993,0.6,21,28,75,382,125,7,8,87.5,13,18,72.2,1,1,100,0,0.1,-0.1,1,0,0,0,1,Matches,cc9fa1a8
70,Victor Bezerra,us USA,FW,Chicago Fire,22-146,2000,0.1,6,6,100,94,13,1,1,100,4,4,100,0,0,,0,0.1,-0.1,1,1,0,0,1,Matches,cbfb6ca5
71,David Bingham,us USA,GK,Portland Timbers,32-255,1989,1,12,42,28.6,481,276,1,1,100,3,3,100,8,38,21.1,0,0,0,0,1,0,0,0,Matches,7fd42a85
72,Steve Birnbaum,us USA,DF,D.C. United,31-159,1991,15,499,632,79,11525,4066,113,139,81.3,272,323,84.2,104,153,68,0,0.8,-0.8,4,24,1,0,40,Matches,26637ac8
73,Tyler Blackett,eng ENG,DF,FC Cincinnati,28-090,1994,11.4,362,457,79.2,7877,3716,115,129,89.1,171,190,90,73,133,54.9,1,0.6,0.4,4,35,3,0,34,Matches,a68a5466
74,Tristan Blackmon,us USA,DF,Vancouver,25-323,1996,8.9,338,421,80.3,7594,3402,91,103,88.3,183,211,86.7,63,102,61.8,0,0,0,1,31,0,0,27,Matches,7f35d14e
75,Andre Blake,jm JAM,GK,Philadelphia,31-222,1990,17,305,498,61.2,10758,7749,45,45,100,114,115,99.1,145,337,43,0,0,0,0,6,0,0,0,Matches,b3b21a11
76,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34-108,1988,9.4,321,472,68,6417,2765,133,174,76.4,125,162,77.2,56,112,50,5,3.9,1.1,26,51,23,5,77,Matches,4ddd0834
77,Latif Blessing,gh GHA,MF,Los Angeles FC,25-183,1996,7.8,243,300,81,3762,1273,121,141,85.8,96,112,85.7,13,22,59.1,0,0.9,-0.9,11,21,11,0,36,Matches,5153d32e
78,Emmanuel Boateng,gh GHA,FWMF,New England,28-165,1994,5.7,197,241,81.7,3398,849,94,108,87,77,83,92.8,20,34,58.8,1,1.3,-0.3,18,6,13,8,12,Matches,25f77a5f
79,Blake Bodily,us USA,DFFW,Portland Timbers,24-169,1998,0.2,10,10,100,155,7,6,6,100,3,3,100,1,1,100,0,0,0,0,0,0,0,0,Matches,612a0951
80,Jonathan Bond,eng ENG,GK,LA Galaxy,29-043,1993,16,449,575,78.1,11972,6946,99,100,99,215,218,98.6,133,255,52.2,0,0,0,0,2,0,0,0,Matches,c3a86eea
81,Pablo Bonilla,ve VEN,DF,Portland Timbers,22-211,1999,2.8,81,117,69.2,1526,645,33,38,86.8,38,57,66.7,10,20,50,0,0,0,1,8,2,2,6,Matches,da23cdc3
82,Alex Bono,us USA,GK,Toronto FC,28-067,1994,14,346,546,63.4,9165,5657,93,95,97.9,135,142,95.1,108,298,36.2,0,0.2,-0.2,1,4,0,0,1,Matches,aa28a396
