Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
266,Bill Hamid,us USA,GK,D.C. United,31-218,1990,9.5,174,235,74,4932,2725,33,33,100,78,83,94,61,116,52.6,0,0,0,0,1,0,0,0,Matches,012fc030
267,Niko Hansen,dk DEN,FW,Minnesota Utd,27-290,1994,0.3,6,10,60,78,31,5,6,83.3,1,3,33.3,0,0,,0,0,0,0,0,1,0,1,Matches,9bebd450
268,Cameron Harper,us USA,DFFW,NY Red Bulls,20-224,2001,3.1,52,90,57.8,870,327,20,33,60.6,27,37,73,2,13,15.4,1,0.8,0.2,3,2,5,2,7,Matches,4a78c769
269,Nathan Harriel,us USA,DF,Philadelphia,21-069,2001,14.7,379,589,64.3,7172,3843,152,197,77.2,170,245,69.4,48,116,41.4,1,0.4,0.6,6,30,7,2,48,Matches,b3edbeff
270,Calvin Harris,eng ENG,FW,FC Cincinnati,22-103,2000,1.8,35,38,92.1,493,60,24,27,88.9,9,9,100,1,1,100,1,0.7,0.3,1,0,0,0,1,Matches,07b0aeef
271,Thomas Hasal,ca CAN,GK,Vancouver,22-357,1999,8.8,125,197,63.5,4682,3172,17,17,100,47,50,94,61,130,46.9,0,0,0,0,2,0,0,0,Matches,86bac87b
272,Jacori Hayes,us USA,MFFW,Minnesota Utd,27-002,1995,0.3,10,13,76.9,152,39,6,8,75,4,4,100,0,1,0,0,0.1,-0.1,1,0,0,0,0,Matches,d2173b7b
273,Héber,br BRA,FW,NYCFC,30-325,1991,4.2,86,116,74.1,1350,269,51,58,87.9,20,30,66.7,10,18,55.6,0,0.1,-0.1,2,7,3,1,7,Matches,d552c4a1
274,Matt Hedges,us USA,DF,FC Dallas,32-091,1990,13.4,638,763,83.6,13687,4996,177,202,87.6,337,370,91.1,118,178,66.3,0,0.1,-0.1,2,19,1,0,30,Matches,5e2a4d0e
275,Chris Hegardt,us USA,FWMF,Charlotte FC,20-176,2002,0.2,18,24,75,268,72,12,13,92.3,4,6,66.7,1,3,33.3,0,0.2,-0.2,1,1,0,0,2,Matches,99a6142d
276,Doneil Henry,ca CAN,DF,Los Angeles FC,29-072,1993,1.5,83,94,88.3,1681,641,28,30,93.3,42,47,89.4,13,17,76.5,0,0,0,0,5,0,0,10,Matches,22636117
277,Fabian Herbers,de GER,FWMF,Chicago Fire,28-318,1993,6.7,181,251,72.1,2903,798,101,128,78.9,62,76,81.6,15,32,46.9,1,1.4,-0.4,10,13,9,1,23,Matches,5cbf5ccd
278,Felipe Hernandez,us USA,MF,Sporting KC,24-023,1998,11.8,306,397,77.1,5416,1363,146,169,86.4,118,136,86.8,36,74,48.6,3,2,1,19,26,4,1,24,Matches,31a4d0b8
279,Javier Hernández,mx MEX,FW,LA Galaxy,34-030,1988,14.5,249,335,74.3,4497,806,125,162,77.2,85,109,78,34,46,73.9,0,0.7,-0.7,11,17,13,2,28,Matches,189cee7b
280,Ronald Hernández,ve VEN,DF,Atlanta Utd,24-283,1997,4.1,221,259,85.3,4109,1471,98,108,90.7,97,108,89.8,25,37,67.6,0,0.2,-0.2,3,15,7,1,16,Matches,de907bab
281,Aaron Herrera,us USA,DF,Real Salt Lake,25-025,1997,9.5,409,539,75.9,8430,3194,151,169,89.3,195,226,86.3,58,129,45,0,0.4,-0.4,8,30,12,8,25,Matches,d86e3070
282,Gonzalo Higuaín,ar ARG,FW,Inter Miami,34-203,1987,5.9,130,181,71.8,3231,864,46,54,85.2,43,50,86,41,71,57.7,1,2.5,-1.5,17,10,6,1,14,Matches,8a08491a
283,Brendan Hines-Ike,us USA,DF,D.C. United,27-213,1994,13.6,517,677,76.4,13310,4233,118,144,81.9,245,289,84.8,152,239,63.6,0,0.1,-0.1,3,41,2,0,43,Matches,b807c1dc
284,Bongokuhle Hlongwane,za RSA,FWMF,Minnesota Utd,22-011,2000,7.2,154,222,69.4,2242,775,88,111,79.3,51,72,70.8,8,20,40,3,1.8,1.2,11,12,6,1,23,Matches,de9952b5
285,Danny Hoesen,nl NED,FW,Austin FC,31-167,1991,1.5,13,19,68.4,198,57,9,9,100,3,6,50,1,2,50,0,0.1,-0.1,1,1,0,0,0,Matches,5ef1939b
286,Ryan Hollingshead,us USA,DF,Los Angeles FC,31-076,1991,10.2,450,536,84,7081,2623,240,261,92,183,222,82.4,22,41,53.7,0,0.2,-0.2,6,23,4,0,36,Matches,28b58797
287,Erik Holt,us USA,DF,Real Salt Lake,25-298,1996,4.4,134,186,72,2823,1046,40,50,80,76,92,82.6,17,40,42.5,0,0,0,0,14,1,0,8,Matches,3677d047
288,Jackson Hopkins,us USA,MFFW,D.C. United,18-000,2004,1.9,37,45,82.2,659,185,18,19,94.7,14,17,82.4,4,8,50,0,0.2,-0.2,2,2,2,1,4,Matches,8344adf5
289,Adrien Hunou,fr FRA,FW,Minnesota Utd,28-163,1994,1.4,30,40,75,417,97,17,19,89.5,11,17,64.7,0,0,,0,0,0,1,2,0,0,2,Matches,d14229f3
290,Erik Hurtado,us USA,FW,Columbus Crew,31-228,1990,2.2,27,33,81.8,379,7,17,20,85,8,8,100,1,3,33.3,0,0.2,-0.2,3,0,0,0,0,Matches,b11e6f2b
291,Emerson Hyndman,us USA,MF,Atlanta Utd,26-083,1996,3.2,191,211,90.5,3719,1034,67,70,95.7,98,106,92.5,22,29,75.9,0,0.1,-0.1,2,21,2,0,20,Matches,3be1a627
292,Franco Ibarra,ar ARG,MF,Atlanta Utd,21-064,2001,7.6,312,381,81.9,5900,1646,113,138,81.9,152,174,87.4,37,51,72.5,1,0.5,0.5,8,31,3,0,22,Matches,db6540c5
293,Sebastien Ibeagha,us USA,DF,Los Angeles FC,30-161,1992,8.7,318,377,84.4,7046,2046,75,86,87.2,176,193,91.2,62,85,72.9,0,0,0,1,14,0,0,19,Matches,41ba8175
294,Sunusi Ibrahim,ng NGA,FWMF,CF Montréal,19-273,2002,2.2,41,59,69.5,591,137,27,29,93.1,9,18,50,4,10,40,0,0.1,-0.1,3,2,3,1,3,Matches,796994e5
295,James Igbekeme,ng NGA,FWMF,Columbus Crew,26-362,1995,8.1,252,316,79.7,4406,1405,109,123,88.6,113,133,85,23,47,48.9,0,0.4,-0.4,9,26,11,3,31,Matches,c9ce0fc8
296,Tega Ikoba,us USA,FW,Portland Timbers,18-321,2003,0.3,2,6,33.3,74,0,0,2,0,0,1,0,2,2,100,0,0,0,0,0,0,0,0,Matches,35d550f2
297,Arnór Ingvi Traustason,is ISL,FWMF,New England,29-062,1993,3.7,104,135,77,1592,438,60,69,87,34,41,82.9,6,15,40,0,0.7,-0.7,7,7,7,3,11,Matches,7d036b4a
298,Nicolas Isimat-Mirin,fr FRA,DF,Sporting KC,30-228,1991,10.8,570,640,89.1,12453,3234,138,153,90.2,340,351,96.9,89,125,71.2,0,0.5,-0.5,6,33,1,0,23,Matches,14e8e9d7
299,Aljaž Ivačič,si SVN,GK,Portland Timbers,28-184,1993,17,299,453,66,8197,4741,64,64,100,136,139,97.8,91,241,37.8,0,0,0,0,1,0,0,0,Matches,4d6e50d8
300,Stanislav Ivanov,bg BUL,FWMF,Chicago Fire,23-076,1999,8.5,165,216,76.4,2233,719,107,122,87.7,46,61,75.4,7,18,38.9,0,0.9,-0.9,7,6,8,4,22,Matches,0cafba94
301,Robin Jansson,se SWE,DF,Orlando City,30-228,1991,13.9,529,600,88.2,11716,4695,159,168,94.6,268,291,92.1,99,132,75,1,0.2,0.8,1,51,1,0,46,Matches,8ca5c176
302,Franco Jara,ar ARG,FW,FC Dallas,33-351,1988,4.2,79,106,74.5,1298,255,36,52,69.2,33,38,86.8,6,7,85.7,1,0.5,0.5,5,3,7,1,9,Matches,413cce14
303,Andres Jasson,us USA,DFFW,NYCFC,20-165,2002,2.7,112,140,80,1994,594,48,55,87.3,54,65,83.1,9,15,60,1,0.2,0.8,1,7,2,1,8,Matches,31d049b2
304,Cal Jennings,us USA,FW,Los Angeles FC,25-045,1997,0.2,2,5,40,9,1,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,Matches,44f6672a
305,Hector Jiménez,us USA,DF,Austin FC,33-240,1988,4.9,282,338,83.4,5336,1714,109,117,93.2,137,165,83,33,48,68.8,2,1.7,0.3,10,18,11,4,33,Matches,2dc1e90e
306,Jesús Jiménez,es ESP,FW,Toronto FC,28-238,1993,15.7,285,371,76.8,3981,663,175,211,82.9,66,87,75.9,23,30,76.7,3,2.3,0.7,14,15,14,0,24,Matches,1e161d47
307,Sean Johnson,us USA,GK,NYCFC,33-031,1989,16,498,614,81.1,13122,7326,94,96,97.9,268,268,100,134,247,54.3,0,0,0,0,0,0,0,0,Matches,c164335e
308,Alistair Johnston,ca CAN,DF,CF Montréal,23-266,1998,15.2,724,878,82.5,13638,4992,303,332,91.3,324,384,84.4,89,136,65.4,3,1.6,1.4,13,68,13,5,49,Matches,4fb17e20
309,DeJuan Jones,us USA,DF,New England,25-007,1997,15.8,860,1035,83.1,15356,5195,362,404,89.6,411,481,85.4,77,116,66.4,3,1.6,1.4,18,54,21,13,70,Matches,10d1139c
310,Derrick Jones,us USA,MF,Charlotte FC,25-120,1997,1.8,54,61,88.5,986,110,22,24,91.7,24,26,92.3,7,10,70,0,0,0,0,3,0,0,0,Matches,93c92d6c
311,Joevin Jones,tt TRI,DFFW,Inter Miami,30-332,1991,0.5,25,27,92.6,582,156,4,5,80,16,16,100,5,5,100,0,0,0,0,1,0,0,1,Matches,fc23d956
312,Jony,ar ARG,FW,Real Salt Lake,28-118,1994,1.6,25,34,73.5,421,73,13,17,76.5,9,10,90,2,4,50,0,0,0,0,1,1,0,2,Matches,60665492
313,Dejan Joveljić,rs SRB,FWMF,LA Galaxy,22-328,1999,3.5,62,79,78.5,908,171,32,41,78,24,27,88.9,3,3,100,2,2.2,-0.2,11,4,3,0,6,Matches,95a24690
314,Kamil Jóźwiak,pl POL,MFFW,Charlotte FC,24-070,1998,2.9,60,90,66.7,934,180,31,41,75.6,22,29,75.9,5,11,45.5,0,0.3,-0.3,5,2,3,1,7,Matches,bd4e3824
315,Judson,br BRA,MF,San Jose,29-037,1993,1.7,82,87,94.3,1655,497,29,31,93.5,41,42,97.6,11,13,84.6,0,0,0,0,8,0,0,7,Matches,e1535f82
316,Anderson Julio,ec ECU,FW,Real Salt Lake,26-031,1996,0.7,9,12,75,148,9,5,6,83.3,3,3,100,1,2,50,1,0.1,0.9,1,0,0,0,0,Matches,f907a6a8
317,Florian Jungwirth,de GER,DFMF,Vancouver,33-155,1989,7.5,289,347,83.3,6621,2106,64,71,90.1,172,187,92,51,78,65.4,0,0,0,0,18,1,0,16,Matches,f179c207
318,Sam Junqua,us USA,DF,Houston Dynamo,25-234,1996,1.7,71,87,81.6,1309,456,27,33,81.8,36,41,87.8,7,9,77.8,0,0,0,0,2,0,0,7,Matches,91981d97
319,Chris Kablan,ch SUI,MF,Real Salt Lake,27-213,1994,0,0,2,0,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,Matches,04159652
320,Kristijan Kahlina,hr CRO,GK,Charlotte FC,29-342,1992,17,521,692,75.3,14170,8886,131,131,100,223,230,97,165,327,50.5,0,0,0,0,12,2,0,0,Matches,53e360bb
321,Brent Kallman,us USA,DF,Minnesota Utd,31-270,1990,6.5,170,210,81,3796,1414,49,55,89.1,85,98,86.7,36,54,66.7,0,0.4,-0.4,1,6,1,0,8,Matches,2b24702b
322,Kei Kamara,sl SLE,FW,CF Montréal,37-303,1984,9.5,176,244,72.1,2494,371,114,148,77,49,71,69,10,15,66.7,5,1.4,3.6,11,11,6,3,14,Matches,6e3f3809
323,Ola Kamara,no NOR,FW,D.C. United,32-259,1989,8.2,125,178,70.2,1955,310,63,85,74.1,50,64,78.1,6,15,40,0,0.7,-0.7,5,6,3,1,6,Matches,e134351a
324,Alec Kann,us USA,GK,FC Cincinnati,31-327,1990,7,106,175,60.6,4041,2761,17,17,100,30,32,93.8,59,124,47.6,0,0,0,0,0,0,0,0,Matches,4a8af93c
325,Johan Kappelhof,nl NED,DF,Real Salt Lake,31-330,1990,1,37,45,82.2,691,262,10,11,90.9,25,29,86.2,2,5,40,0,0,0,0,3,0,0,1,Matches,465015a5
326,Wilfrid Kaptoum,cm CMR,MF,New England,25-359,1996,5.3,214,248,86.3,3751,936,94,103,91.3,87,99,87.9,25,36,69.4,0,0,0,2,13,1,0,17,Matches,d717630e
327,Ercan Kara,at AUT,FW,Orlando City,26-179,1996,11.2,106,152,69.7,1458,234,59,76,77.6,31,45,68.9,6,11,54.5,2,1.2,0.8,10,3,4,1,7,Matches,540c9a17
328,Mark-Anthony Kaye,ca CAN,MF,Colorado Rapids,27-211,1994,13.2,481,586,82.1,9849,2453,165,192,85.9,232,265,87.5,76,105,72.4,1,1.2,-0.2,11,48,13,1,73,Matches,36a38acd
329,Kipp Keller,us USA,DF,Austin FC,21-352,2000,2.7,152,166,91.6,2984,972,39,42,92.9,93,96,96.9,17,24,70.8,0,0.1,-0.1,1,3,4,1,6,Matches,fe5fea9f
330,Jon Kempin,us USA,GK,D.C. United,29-084,1993,2,33,51,64.7,1085,625,5,5,100,11,12,91.7,16,33,48.5,0,0,0,0,0,0,0,0,Matches,063adc5e
331,Deandre Kerr,ca CAN,MFFW,Toronto FC,19-224,2002,8.1,115,159,72.3,1685,399,68,85,80,42,57,73.7,4,9,44.4,0,0.4,-0.4,3,8,5,0,13,Matches,a3e85f7b
332,Henry Kessler,us USA,DF,New England,24-006,1998,6,404,436,92.7,9530,2630,79,83,95.2,229,239,95.8,95,108,88,0,0,0,0,14,0,0,13,Matches,23c75879
333,Benjamin Kikanovic,us USA,FWMF,San Jose,22-176,2000,4.3,105,133,78.9,1581,339,61,67,91,34,49,69.4,8,13,61.5,0,0,0,3,8,1,0,8,Matches,fe11d61b
334,Patryk Klimala,pl POL,FW,NY Red Bulls,23-330,1998,11,99,175,56.6,1906,396,44,73,60.3,32,56,57.1,19,23,82.6,3,1.9,1.1,11,8,2,1,12,Matches,0bf3c11c
335,Sacha Kljestan,us USA,MF,LA Galaxy,36-295,1985,2.7,179,212,84.4,3009,969,89,99,89.9,71,82,86.6,17,25,68,1,0.2,0.8,5,24,7,2,21,Matches,73682895
336,Brad Knighton,us USA,GK,New England,37-145,1985,4,77,93,82.8,2179,1350,9,9,100,43,43,100,25,41,61,0,0,0,0,1,0,0,0,Matches,9903a3cb
337,Žan Kolmanič,si SVN,DF,Austin FC,22-120,2000,8.9,438,577,75.9,8156,2803,185,201,92,209,237,88.2,42,130,32.3,2,1.5,0.5,9,25,11,4,30,Matches,4501fd21
338,Ismaël Koné,ca CAN,MF,CF Montréal,20-025,2002,9,304,362,84,6106,1140,121,139,87.1,125,145,86.2,52,65,80,2,0.9,1.1,7,30,3,0,26,Matches,e0220b70
339,Damir Kreilach,hr CRO,MFFW,Real Salt Lake,33-076,1989,3.3,104,127,81.9,1558,304,61,67,91,32,39,82.1,7,14,50,0,0.1,-0.1,3,11,2,0,10,Matches,068be155
340,Theodore Ku-Dipietro,us USA,MFFW,D.C. United,20-154,2002,0.3,5,6,83.3,90,2,3,4,75,1,1,100,1,1,100,0,0,0,0,0,0,0,0,Matches,ef7c10e0
341,Yuya Kubo,jp JPN,MF,FC Cincinnati,28-189,1993,7.8,247,308,80.2,4856,1218,87,105,82.9,124,138,89.9,32,52,61.5,0,0.8,-0.8,9,31,7,1,31,Matches,cba16a46
342,Jojea Kwizera,cg CGO,DFMF,CF Montréal,23-181,1999,0.2,15,20,75,227,81,8,9,88.9,6,8,75,1,3,33.3,0,0,0,1,1,2,1,3,Matches,cc61360d
343,Lassi Lappalainen,fi FIN,DF,CF Montréal,23-311,1998,12.2,399,510,78.2,6996,2432,214,238,89.9,135,182,74.2,45,69,65.2,1,0.6,0.4,11,22,10,1,49,Matches,bcb2282d
344,Jesús David Murillo Largacha,co COL,DF,Los Angeles FC,28-133,1994,12.7,503,605,83.1,11067,3946,141,165,85.5,254,272,93.4,100,152,65.8,2,0,2,0,35,2,0,26,Matches,68d48a71
345,Ariel Lassiter,cr CRC,FWMF,Inter Miami,27-277,1994,11.3,218,297,73.4,3813,835,118,135,87.4,74,100,74,26,51,51,2,3,-1,18,6,10,8,9,Matches,bd7b916c
346,Vuk Latinovich,us USA,DF,NYCFC,24-290,1997,0.2,9,12,75,214,40,0,0,,7,8,87.5,2,4,50,0,0,0,0,0,0,0,0,Matches,5c0e047a
347,Kemar Lawrence,jm JAM,DF,Minnesota Utd,29-287,1992,12,430,550,78.2,7693,2943,199,230,86.5,179,212,84.4,44,88,50,1,0.8,0.2,5,26,9,6,27,Matches,80be3efe
348,Randall Leal,cr CRC,MFFW,Nashville,25-168,1997,9.9,237,341,69.5,4215,1673,105,131,80.2,98,140,70,28,45,62.2,3,2.2,0.8,12,30,14,4,38,Matches,874a5031
349,Kelvin Leerdam,sr SUR,DFMF,LA Galaxy,32-007,1990,4.3,205,241,85.1,3686,1179,96,107,89.7,89,104,85.6,19,25,76,0,0,0,1,20,3,0,16,Matches,d8b47705
350,Brooks Lennon,us USA,DFFW,Atlanta Utd,24-282,1997,13,603,757,79.7,10987,3385,263,286,92,262,310,84.5,64,135,47.4,2,4.2,-2.2,41,20,13,7,31,Matches,ec80ba72
351,Jonathan Lewis,us USA,FW,Colorado Rapids,25-027,1997,12.1,177,225,78.7,2757,644,107,123,87,54,63,85.7,12,25,48,0,0.7,-0.7,9,9,9,1,21,Matches,2501eb59
352,Danny Leyva,us USA,MF,Seattle,19-057,2003,1.2,81,99,81.8,1617,474,31,40,77.5,30,33,90.9,17,23,73.9,1,0.1,0.9,3,13,1,0,15,Matches,ecc3a9c9
353,Azaad Liadi,us USA,MF,D.C. United,24-048,1998,0.1,2,4,50,25,8,2,3,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches,ba702426
354,Nick Lima,us USA,DF,Austin FC,27-226,1994,11.9,544,666,81.7,11008,3064,199,223,89.2,252,294,85.7,87,136,64,3,1,2,13,32,15,6,39,Matches,959686eb
355,Jaylin Lindsey,us USA,DF,Charlotte FC,22-096,2000,13.7,682,829,82.3,12204,4628,290,320,90.6,312,371,84.1,72,114,63.2,0,0.9,-0.9,13,40,20,6,53,Matches,83cb6e59
356,Sebastian Lletget,us USA,MFFW,New England,29-301,1992,11.7,375,451,83.1,6498,1530,166,194,85.6,167,191,87.4,33,52,63.5,2,0.7,1.3,7,40,11,1,39,Matches,73019c31
357,Robin Lod,fi FIN,FW,Minnesota Utd,29-075,1993,15.3,365,447,81.7,5434,1856,199,230,86.5,136,163,83.4,18,22,81.8,2,1.8,0.2,24,38,15,0,58,Matches,33c69aa0
358,Nicolás Lodeiro,uy URU,MF,Seattle,33-102,1989,8.8,535,670,79.9,9035,2847,271,304,89.1,178,218,81.7,67,113,59.3,3,2,1,15,39,26,6,72,Matches,fe81d0d1
359,Jasper Löeffelsend,us USA,MF,Real Salt Lake,24-265,1997,7.4,239,286,83.6,4440,977,103,113,91.2,108,126,85.7,25,35,71.4,1,0.6,0.4,8,16,6,2,18,Matches,ce037639
360,Aaron Long,us USA,DF,NY Red Bulls,29-262,1992,13.8,444,567,78.3,9143,3196,126,150,84,248,279,88.9,63,121,52.1,0,0.4,-0.4,7,30,4,0,40,Matches,46b89640
361,Marcos López,pe PER,DF,San Jose,22-223,1999,10.4,489,627,78,9076,3574,200,232,86.2,239,277,86.3,45,89,50.6,0,0.3,-0.3,5,42,6,1,42,Matches,9b3ab988
362,Marvin Loría,cr CRC,FWMF,Portland Timbers,25-068,1997,4.8,164,220,74.5,3057,771,76,89,85.4,62,71,87.3,24,55,43.6,1,0.5,0.5,7,9,7,1,17,Matches,71380d87
363,Daniel Lovitz,us USA,DF,Nashville,30-308,1991,14,475,678,70.1,10035,4074,158,180,87.8,223,293,76.1,89,182,48.9,1,0.9,0.1,13,37,14,4,60,Matches,db97d838
364,Damion Lowe,jm JAM,DF,Inter Miami,29-057,1993,13.7,533,650,82,12727,4152,129,142,90.8,256,282,90.8,143,217,65.9,0,0.1,-0.1,3,29,2,0,19,Matches,b6e2e54c
365,Everton Luiz,br BRA,MF,Real Salt Lake,34-038,1988,4.8,114,132,86.4,1886,299,56,63,88.9,46,52,88.5,10,15,66.7,0,0.1,-0.1,2,7,0,0,3,Matches,3799e138
366,Diego Luna,us USA,MF,Real Salt Lake,18-297,2003,0,1,2,50,22,0,0,1,0,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches,e67f8af0
367,Adam Lundqvist,se SWE,DF,Houston Dynamo,28-103,1994,15.4,663,806,82.3,12983,4111,231,259,89.2,352,386,91.2,77,142,54.2,4,1.4,2.6,16,32,12,7,49,Matches,91769a24
368,Luquinhas,br BRA,MFFW,NY Red Bulls,25-276,1996,9.9,192,256,75,2768,834,111,137,81,70,92,76.1,5,13,38.5,2,1.6,0.4,14,17,10,0,34,Matches,85937928
369,Jack Lynn,us USA,MF,Orlando City,22-170,2000,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches,c81d718e
370,Larrys Mabiala,cd COD,DF,Portland Timbers,34-266,1987,7.3,336,386,87,7684,2696,87,95,91.6,175,194,90.2,72,92,78.3,0,0,0,0,28,0,0,36,Matches,5bdec47f
371,Aimé Mabika,zm ZAM,DF,Inter Miami,23-319,1998,4.4,111,125,88.8,2476,777,23,25,92,61,66,92.4,25,32,78.1,0,0,0,0,2,0,0,0,Matches,3a37d349
372,Maciel,br BRA,MF,New England,22-164,2000,2.6,109,131,83.2,2094,596,48,54,88.9,37,41,90.2,19,25,76,0,0,0,0,14,1,0,12,Matches,a39d51e0
373,Zac MacMath,us USA,GK,Real Salt Lake,30-328,1991,17,309,593,52.1,12254,9425,38,39,97.4,95,99,96,175,452,38.7,0,0,0,0,13,1,0,0,Matches,06caac45
374,Lukas MacNaughton,us USA,DF,Toronto FC,27-115,1995,8.3,320,395,81,6889,2057,101,116,87.1,162,176,92,57,100,57,0,0.1,-0.1,1,17,0,0,21,Matches,b6111d16
375,Talles Magno,br BRA,FW,NYCFC,20-005,2002,13.9,435,528,82.4,6368,1772,260,292,89,130,152,85.5,27,46,58.7,4,3,1,25,28,21,0,56,Matches,64c98878
376,Jack Maher,us USA,DF,Nashville,22-246,1999,13,526,591,89,11702,3385,119,130,91.5,297,312,95.2,106,139,76.3,0,0,0,0,24,1,1,30,Matches,0c6f2fa6
377,Christian Makoun,ve VEN,DF,Charlotte FC,22-118,2000,8.9,449,509,88.2,9871,2199,94,103,91.3,270,280,96.4,72,108,66.7,0,0,0,0,21,2,0,17,Matches,7efffe65
378,Machop Malual,ss SSD,DF,Atlanta Utd,23-229,1998,0.1,8,8,100,123,31,4,4,100,4,4,100,0,0,,0,0,0,0,0,0,0,1,Matches,1701b012
379,J.T. Marcinkowski,us USA,GK,San Jose,25-053,1997,16,384,511,75.1,11108,5873,53,53,100,188,190,98.9,141,265,53.2,0,0,0,0,1,0,0,1,Matches,977791f4
380,Paul Marie,fr FRA,DF,San Jose,27-099,1995,12.9,557,689,80.8,10024,3003,237,262,90.5,258,296,87.2,55,105,52.4,0,0.6,-0.6,12,40,11,2,50,Matches,da0bb55a
381,Anthony Markanich,us USA,DF,Colorado Rapids,22-187,1999,1.6,55,73,75.3,1018,313,24,27,88.9,24,33,72.7,7,10,70,0,0.4,-0.4,5,3,3,2,3,Matches,565fde4a
382,Nick Markanich,us USA,FWMF,FC Cincinnati,22-187,1999,1.2,24,32,75,313,24,14,18,77.8,8,10,80,0,1,0,0,0,0,0,0,0,0,1,Matches,65988c73
383,George Marks,us USA,GK,Charlotte FC,22-233,1999,1,28,34,82.4,749,457,7,8,87.5,14,14,100,7,12,58.3,0,0,0,0,0,0,0,0,Matches,e75f9dba
384,Jahkeele Marshall-Rutty,ca CAN,DF,Toronto FC,18-015,2004,3,170,193,88.1,2626,861,93,98,94.9,66,71,93,8,14,57.1,0,0.3,-0.3,1,9,0,0,7,Matches,b9459f85
385,Nick Marsman,nl NED,GK,Inter Miami,31-273,1990,5,126,187,67.4,3880,2377,12,12,100,63,63,100,51,112,45.5,0,0,0,0,1,0,0,0,Matches,f352799f
386,Josef Martínez,ve VEN,FW,Atlanta Utd,29-043,1993,7.3,115,141,81.6,1894,333,69,78,88.5,27,35,77.1,18,24,75,3,1.2,1.8,11,9,3,0,13,Matches,e73f0aa1
387,Luís Martins,pt POR,DF,Vancouver,30-021,1992,1.4,39,55,70.9,714,246,13,16,81.3,24,30,80,2,8,25,0,0,0,0,1,0,0,1,Matches,56b7c09b
388,Thiago Martins,br BRA,DF,NYCFC,27-106,1995,10.9,575,638,90.1,13036,4011,136,155,87.7,326,345,94.5,110,131,84,0,0,0,1,26,1,0,19,Matches,4d6ec370
389,Alexandru Mățan,ro ROU,FWMF,Columbus Crew,22-306,1999,0.4,17,27,63,269,95,9,11,81.8,6,7,85.7,1,5,20,0,0,0,0,1,2,0,5,Matches,3bd3bcc4
390,Rónald Matarrita,cr CRC,DF,FC Cincinnati,27-357,1994,1.9,73,94,77.7,1265,567,35,40,87.5,29,34,85.3,8,17,47.1,2,0.4,1.6,3,6,3,2,10,Matches,491862dd
391,Jimmy Maurer,us USA,GK,FC Dallas,33-260,1988,2,39,64,60.9,997,511,11,11,100,15,15,100,13,38,34.2,0,0,0,0,0,0,0,0,Matches,ca1c6f3d
392,José Mauri,it ITA,MF,Sporting KC,26-046,1996,0.3,18,24,75,391,45,6,8,75,8,8,100,4,6,66.7,0,0,0,0,3,0,0,0,Matches,644faf10
393,Chris Mavinga,cd COD,DF,Toronto FC,31-036,1991,4.8,205,241,85.1,3646,1264,84,90,93.3,102,115,88.7,16,28,57.1,0,0,0,0,12,0,0,14,Matches,fda36cfb
394,Max,br BRA,FWMF,Colorado Rapids,21-050,2001,3.5,104,135,77,2270,606,36,45,80,47,54,87,19,30,63.3,0,0.1,-0.1,3,15,5,1,19,Matches,67c3efa4
395,Olivier Mbaizo,cm CMR,DF,Philadelphia,24-320,1997,2.4,76,111,68.5,1493,737,28,39,71.8,37,47,78.7,10,20,50,0,0.4,-0.4,3,9,2,2,16,Matches,f6315619
396,John McCarthy,us USA,GK,Los Angeles FC,29-362,1992,1,21,30,70,517,293,6,6,100,10,10,100,5,14,35.7,0,0,0,0,1,0,0,0,Matches,249362e9
397,Dax McCarty,us USA,MF,Nashville,35-062,1987,8.5,406,485,83.7,8162,2470,153,186,82.3,186,207,89.9,61,80,76.3,1,1.7,-0.7,10,46,7,1,48,Matches,b74e58c0
398,Aiden McFadden,us USA,DF,Atlanta Utd,23-276,1998,1.9,77,94,81.9,1259,365,36,40,90,27,33,81.8,6,10,60,0,0.7,-0.7,3,5,0,0,5,Matches,eed1b8f6
399,Jack McGlynn,us USA,MF,Philadelphia,18-359,2003,1.6,92,116,79.3,1765,615,42,48,87.5,37,45,82.2,12,20,60,0,0.3,-0.3,2,10,6,1,12,Matches,e2b8c25c
400,Zac McGraw,us USA,DF,Portland Timbers,25-023,1997,5.6,184,226,81.4,3989,1078,58,65,89.2,87,102,85.3,38,55,69.1,0,0,0,0,3,0,0,4,Matches,83129dc7
401,Thomas McNamara,us USA,MF,New England,31-145,1991,13.4,590,671,87.9,11911,2982,199,218,91.3,290,321,90.3,91,111,82,0,0.1,-0.1,3,45,8,0,48,Matches,ab36595d
402,Quinn McNeill,us USA,MF,Charlotte FC,23-305,1998,0.3,22,25,88,317,52,15,15,100,6,6,100,1,4,25,0,0,0,0,1,0,0,1,Matches,2a9b1a97
