Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
652,Brady Scott,us USA,GK,Columbus Crew,23-002,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,b4e04d9e
653,Eddie Segura,co COL,DF,Los Angeles FC,25-150,1997,1,4,4,0.3,0.0,0,,0,1,4,1,3.00,0,0,0,0.00,-1.00,0.4,0.0,+0.4,+9.75,+9.07,Matches,c70e3fe0
654,Amar Sejdic,us USA,MF,Atlanta Utd,25-215,1996,10,508,51,35.3,5.6,7,69,0,3,8,6,1.10,3,5,-2,-0.35,-0.55,7.3,7.0,+0.3,+0.05,-0.11,Matches,43ca2019
655,Boris Sekulić,sk SVK,DF,Chicago Fire,30-254,1991,17,1448,85,94.6,16.1,16,88,14,1,45,0,1.00,14,21,-7,-0.44,-0.44,20.7,20.4,+0.3,+0.02,+1.27,Matches,adf26bd4
656,Brandon Servania,us USA,MF,FC Dallas,23-112,1999,15,977,65,63.9,10.9,12,78,4,3,13,1,1.53,14,14,0,0.00,-1.14,12.2,13.4,-1.2,-0.11,-1.23,Matches,4d825a2d
657,Jacob Shaffelburg,ca CAN,DF,Toronto FC,22-218,1999,10,548,55,35.8,6.1,6,77,2,4,21,0,1.40,12,13,-1,-0.16,+0.48,6.7,14.7,-8.0,-1.31,-0.54,Matches,339a2561
658,Xherdan Shaqiri,ch SUI,MFFW,Chicago Fire,30-265,1991,13,1089,84,71.2,12.1,13,84,11,0,,0,1.00,14,17,-3,-0.25,+0.57,17.1,15.8,+1.3,+0.11,+0.55,Matches,6421ec64
659,Brek Shea,us USA,DF,Inter Miami,32-124,1990,3,147,49,10.2,1.6,2,67,1,1,13,0,0.33,1,6,-5,-3.06,-2.85,1.1,2.4,-1.3,-0.81,-0.58,Matches,adb6ae24
660,Khiry Shelton,us USA,FW,Sporting KC,29-006,1993,13,1008,78,62.2,11.2,11,84,5,2,44,0,0.92,12,21,-9,-0.80,+0.23,8.9,17.2,-8.3,-0.74,-0.31,Matches,f935709c
661,Andre Shinyashiki,br BRA,FWMF,Colorado Rapids,27-021,1995,8,216,27,15.0,2.4,2,66,0,6,14,0,1.13,2,3,-1,-0.42,-0.20,4.1,3.5,+0.6,+0.24,+0.06,Matches,8c395868
662,Andre Shinyashiki,br BRA,MFFW,Charlotte FC,27-021,1995,7,501,72,30.9,5.6,6,78,3,1,35,0,1.43,6,5,+1,+0.18,+0.66,6.8,5.1,+1.7,+0.31,+0.64,Matches,8c395868
663,Bobby Shuttleworth,us USA,GK,Atlanta Utd,35-050,1987,7,558,80,38.8,6.2,6,90,6,1,18,9,0.86,11,11,0,0.00,0.00,11.2,9.6,+1.5,+0.25,+0.20,Matches,4598ac94
664,Marcelo Silva,uy URU,DF,Real Salt Lake,33-103,1989,16,1424,89,93.1,15.8,16,89,15,0,,0,1.63,18,17,+1,+0.06,+0.06,21.8,19.6,+2.3,+0.14,+1.49,Matches,b9596515
665,Pablo Sisniega,mx MEX,GK,Charlotte FC,26-360,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,550557e1
666,Jack Skahan,us USA,MFDF,San Jose,24-145,1998,2,2,1,0.1,0.0,0,,0,2,1,9,1.00,0,1,-1,-45.00,-44.50,0.0,0.3,-0.3,-15.08,-14.53,Matches,9c07bdc7
667,Drew Skundrich,us USA,MF,D.C. United,26-288,1995,13,442,34,32.7,4.9,4,78,2,9,15,2,1.08,4,6,-2,-0.41,+0.29,6.5,7.2,-0.7,-0.14,+0.06,Matches,51f50135
668,Gabriel Slonina,us USA,GK,Chicago Fire,18-048,2004,17,1530,90,100.0,17.0,17,90,17,0,,0,1.00,15,22,-7,-0.41,,21.3,22.2,-0.9,-0.05,,Matches,c55a846e
669,Brad Smith,au AUS,DF,D.C. United,28-084,1994,14,1090,78,80.7,12.1,14,78,7,0,,0,1.00,15,18,-3,-0.25,+1.83,15.1,16.0,-0.9,-0.07,+0.58,Matches,c76c717c
670,Kimarni Smith,eng ENG,DF,D.C. United,24-110,1998,4,38,10,2.8,0.4,0,,0,4,10,2,0.25,1,1,0,0.00,+0.62,0.3,0.2,+0.2,+0.36,+0.56,Matches,bbbb244b
671,Kyle Smith,us USA,DF,Orlando City,30-174,1992,13,562,43,36.7,6.2,5,90,5,8,14,4,1.62,7,8,-1,-0.16,+0.03,8.1,8.7,-0.6,-0.10,+0.26,Matches,9e6b2ec3
672,Jan Sobociński,pl POL,DF,Charlotte FC,23-104,1999,2,6,3,0.4,0.1,0,,0,2,3,8,2.00,1,0,+1,+15.00,+15.33,0.9,0.1,+0.9,+12.79,+12.96,Matches,5358009d
