ID,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG2,xA3,xG+xA,npxG4,npxG+xA5
92,Sebastian Breza,ca CAN,GK,CF Montréal,24-108,1998,17,17,1530,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Emiliano Brienza,ca CAN,FW,Vancouver,20-053,2002,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,0,2,2,2
94,Andrew Brody,us USA,DF,Real Salt Lake,27-059,1995,17,16,1463,16.3,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,0.1,0.1,1.8,1.9,0.01,0.11,0.12,0.01,0.12
95,Brandt Bronico,us USA,MF,Charlotte FC,27-011,1995,17,16,1409,15.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
96,Javain Brown,jm JAM,DF,Vancouver,23-114,1999,15,11,1071,11.9,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.7,1,0.03,0.06,0.09,0.03,0.09
97,Will Bruin,us USA,FW,Seattle,32-250,1989,11,5,390,4.3,2,0,2,0,0,1,0,0.46,0,0.46,0.46,0.46,1.1,1.1,0.3,1.5,0.26,0.08,0.34,0.26,0.34
98,Adam Buksa,pl POL,FW,New England,25-354,1996,10,9,815,9.1,7,2,7,0,0,3,1,0.77,0.22,0.99,0.77,0.99,3.7,3.7,0.3,4,0.41,0.04,0.44,0.41,0.44
99,Teal Bunbury,us USA,FW,Nashville,32-124,1990,4,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.25,0.01,0.25,0.25,0.25
100,Nkosi Burgess,us USA,DF,FC Dallas,25-111,1997,12,6,627,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.03,0.03,0.01,0.03
101,Cory Burke,jm JAM,FW,Philadelphia,30-185,1991,16,4,620,6.9,3,0,3,0,0,4,0,0.44,0,0.44,0.44,0.44,3.2,3.2,1.1,4.3,0.47,0.16,0.63,0.47,0.63
102,Handwalla Bwana,so SOM,FW,Nashville,25-006,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0.18
103,Brandon Bye,us USA,DF,New England,26-214,1995,13,13,1170,13,2,4,2,0,0,2,0,0.15,0.31,0.46,0.15,0.46,1.3,1.3,2.6,3.9,0.1,0.2,0.3,0.1,0.3
104,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22-356,1999,16,13,873,9.7,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2.2,4.1,0.2,0.22,0.42,0.2,0.42
105,Deiber Caicedo,co COL,FWMF,Vancouver,22-098,2000,16,12,985,10.9,1,2,1,0,0,2,0,0.09,0.18,0.27,0.09,0.27,1.4,1.4,2.7,4.1,0.13,0.24,0.37,0.13,0.37
106,Scott Caldwell,us USA,MF,Real Salt Lake,31-108,1991,15,10,892,9.9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
107,Drake Callender,us USA,GK,Inter Miami,24-267,1997,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Alexander Callens,pe PER,DF,NYCFC,30-058,1992,16,16,1440,16,3,0,3,0,0,5,0,0.19,0,0.19,0.19,0.19,1.7,1.7,0,1.7,0.11,0,0.11,0.11,0.11
