Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
56,Michael Baldisimo,ca CAN,MF,Vancouver,22-080,2000,3.5,1,0,0,12,4,0,1,3,8,0,0,0,34,2,4,33.3,Matches,894b41c5
57,Tom Barlow,us USA,FW,NY Red Bulls,26-359,1995,7.9,2,0,0,22,4,5,6,0,6,0,0,0,30,30,44,40.5,Matches,da4821de
58,Álvaro Barreal,ar ARG,FWDF,FC Cincinnati,21-319,2000,9.1,1,0,0,13,11,2,29,11,10,1,0,0,61,8,14,36.4,Matches,ffca53e1
59,Michael Barrios,co COL,FW,Colorado Rapids,31-072,1991,10.1,1,0,0,6,14,2,45,5,5,0,0,0,58,4,11,26.7,Matches,df782c79
60,Ethan Bartlow,us USA,DFMF,Houston Dynamo,22-150,2000,5.8,2,0,0,6,1,0,0,5,6,0,0,0,30,7,7,50.0,Matches,552898bd
61,Zorhan Bassong,ca CAN,DF,CF Montréal,23-056,1999,1.9,1,0,0,4,0,2,6,5,2,0,0,0,16,3,6,33.3,Matches,6297d826
62,Tanner Beason,us USA,DF,San Jose,25-101,1997,9.2,0,0,0,8,15,1,2,19,7,0,0,0,66,23,11,67.6,Matches,3f1b018e
63,Alejandro Bedoya,us USA,MF,Philadelphia,35-064,1987,15.9,3,0,0,25,4,2,28,18,12,0,0,0,121,46,52,46.9,Matches,9a6f8dfd
64,Steven Beitashour,ir IRN,DF,Colorado Rapids,35-151,1987,6.7,1,0,0,9,9,0,8,12,8,0,0,0,36,4,2,66.7,Matches,64f1680a
65,Jon Bell,us USA,DF,New England,24-310,1997,5.5,0,0,0,5,4,0,0,9,6,0,0,0,44,13,9,59.1,Matches,658a3134
66,Ben Bender,us USA,MF,Charlotte FC,21-117,2001,12.9,0,0,0,16,11,1,15,14,9,0,0,0,97,12,19,38.7,Matches,bc307884
67,Sebastian Berhalter,us USA,MF,Vancouver,21-046,2001,8.9,3,0,0,17,13,0,6,27,20,0,0,0,98,9,8,52.9,Matches,f33ee427
68,Miguel Berry,es ESP,FW,Columbus Crew,24-289,1997,10.8,0,0,0,14,16,7,4,6,4,0,0,0,34,22,69,24.2,Matches,a5532e80
69,Nick Besler,us USA,MFDF,Real Salt Lake,29-056,1993,0.6,0,0,0,1,1,0,1,1,4,0,0,0,7,5,0,100.0,Matches,cc9fa1a8
70,Victor Bezerra,us USA,FW,Chicago Fire,22-147,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,cbfb6ca5
71,David Bingham,us USA,GK,Portland Timbers,32-256,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches,7fd42a85
72,Steve Birnbaum,us USA,DF,D.C. United,31-160,1991,15.0,2,0,0,30,17,1,2,29,9,0,0,0,185,102,30,77.3,Matches,26637ac8
73,Tyler Blackett,eng ENG,DF,FC Cincinnati,28-091,1994,11.4,5,0,0,14,2,1,0,12,3,0,1,0,89,25,14,64.1,Matches,a68a5466
