Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
54,Corey Baird,us USA,FWMF,Houston Dynamo,26-153,1996,7.5,276,7,48,108,144,21,272,2,12,16.7,2,1,197,1005,558,28,10,4,11,11,263,189,71.9,37,Matches,2d0d1442
55,Reed Baker-Whiting,us USA,MF,Seattle,17-093,2005,1.0,30,2,9,15,10,2,30,1,1,100.0,1,1,19,74,22,0,1,0,1,3,39,23,59.0,2,Matches,816d7aec
56,Michael Baldisimo,ca CAN,MF,Vancouver,22-080,2000,3.5,199,17,67,114,30,1,193,3,4,75.0,3,0,118,480,238,12,4,0,0,5,134,128,95.5,1,Matches,894b41c5
57,Tom Barlow,us USA,FW,NY Red Bulls,26-359,1995,7.9,274,5,16,127,142,34,266,7,11,63.6,7,0,157,567,308,18,5,4,27,14,409,210,51.3,60,Matches,da4821de
58,Álvaro Barreal,ar ARG,FWDF,FC Cincinnati,21-319,2000,9.1,551,14,90,223,274,32,492,13,29,44.8,14,5,362,1556,668,34,13,5,16,18,420,368,87.6,47,Matches,ffca53e1
59,Michael Barrios,co COL,FW,Colorado Rapids,31-072,1991,10.1,396,5,27,159,237,74,374,16,31,51.6,18,5,296,1638,1018,72,13,20,27,20,420,285,67.9,85,Matches,df782c79
60,Ethan Bartlow,us USA,DFMF,Houston Dynamo,22-150,2000,5.8,309,62,199,126,13,0,295,0,0,,0,0,197,1309,934,8,4,0,3,2,221,216,97.7,1,Matches,552898bd
61,Zorhan Bassong,ca CAN,DF,CF Montréal,23-056,1999,1.9,133,7,28,64,52,4,115,2,3,66.7,2,0,80,415,216,11,4,1,1,1,100,83,83.0,9,Matches,6297d826
62,Tanner Beason,us USA,DF,San Jose,25-101,1997,9.2,632,64,333,287,39,6,602,2,5,40.0,3,0,411,1355,589,11,2,0,6,6,448,440,98.2,1,Matches,3f1b018e
63,Alejandro Bedoya,us USA,MF,Philadelphia,35-064,1987,15.9,764,31,156,345,310,48,721,3,13,23.1,5,0,413,2333,1195,56,18,4,21,9,594,485,81.6,62,Matches,9a6f8dfd
64,Steven Beitashour,ir IRN,DF,Colorado Rapids,35-151,1987,6.7,344,18,106,158,105,6,285,3,4,75.0,3,1,188,910,506,19,10,0,3,3,219,191,87.2,11,Matches,64f1680a
65,Jon Bell,us USA,DF,New England,24-310,1997,5.5,317,50,211,118,6,3,311,2,2,100.0,2,0,180,945,372,1,1,0,3,1,201,201,100.0,1,Matches,658a3134
66,Ben Bender,us USA,MF,Charlotte FC,21-117,2001,12.9,637,9,109,324,255,36,616,10,16,62.5,10,0,436,2339,999,57,20,3,35,23,543,449,82.7,66,Matches,bc307884
67,Sebastian Berhalter,us USA,MF,Vancouver,21-046,2001,8.9,550,27,154,298,119,4,513,5,5,100.0,5,0,306,1006,514,16,7,0,8,15,338,316,93.5,12,Matches,f33ee427
68,Miguel Berry,es ESP,FW,Columbus Crew,24-289,1997,10.8,298,10,22,129,162,62,276,8,22,36.4,10,0,191,768,280,18,7,4,31,22,381,199,52.2,65,Matches,a5532e80
69,Nick Besler,us USA,MFDF,Real Salt Lake,29-056,1993,0.6,41,3,15,23,6,1,41,0,0,,0,0,21,144,71,1,1,0,0,1,21,21,100.0,3,Matches,cc9fa1a8
70,Victor Bezerra,us USA,FW,Chicago Fire,22-147,2000,0.1,7,0,0,5,2,1,6,0,0,,0,0,3,12,0,0,0,0,1,0,8,6,75.0,1,Matches,cbfb6ca5
71,David Bingham,us USA,GK,Portland Timbers,32-256,1989,1.0,46,37,45,1,0,0,27,0,0,,0,0,14,66,41,0,0,0,0,0,16,16,100.0,0,Matches,7fd42a85
72,Steve Birnbaum,us USA,DF,D.C. United,31-160,1991,15.0,813,145,438,347,53,28,782,0,0,,0,0,351,1511,639,7,1,0,10,1,424,409,96.5,9,Matches,26637ac8
73,Tyler Blackett,eng ENG,DF,FC Cincinnati,28-091,1994,11.4,540,89,286,258,31,9,522,2,2,100.0,2,0,315,1714,751,20,5,0,1,3,360,348,96.7,5,Matches,a68a5466
74,Tristan Blackmon,us USA,DF,Vancouver,25-324,1996,8.9,515,84,321,198,15,4,496,2,4,50.0,2,0,293,1243,669,12,1,0,3,1,313,310,99.0,0,Matches,7f35d14e
75,Andre Blake,jm JAM,GK,Philadelphia,31-223,1990,17.0,537,478,535,2,0,0,348,0,0,,0,0,217,1288,652,0,0,0,0,0,150,149,99.3,0,Matches,b3b21a11
76,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34-109,1988,9.4,576,9,69,269,287,44,547,11,18,61.1,11,2,437,2576,1726,84,28,9,20,12,551,466,84.6,67,Matches,4ddd0834
77,Latif Blessing,gh GHA,MF,Los Angeles FC,25-184,1996,7.8,416,15,86,207,159,27,413,9,18,50.0,9,2,303,1549,847,43,12,3,22,11,299,258,86.3,42,Matches,5153d32e
78,Emmanuel Boateng,gh GHA,FWMF,New England,28-166,1994,5.7,297,5,47,108,163,27,279,5,8,62.5,5,0,216,1225,715,33,9,5,19,6,276,223,80.8,45,Matches,25f77a5f
79,Blake Bodily,us USA,DFFW,Portland Timbers,24-170,1998,0.2,10,0,1,6,4,0,8,0,0,,0,0,6,38,0,0,0,0,0,0,11,8,72.7,1,Matches,612a0951
80,Jonathan Bond,eng ENG,GK,LA Galaxy,29-044,1993,16.0,613,529,610,4,0,0,466,0,0,,0,0,308,1226,644,0,0,0,0,0,296,296,100.0,0,Matches,c3a86eea
81,Pablo Bonilla,ve VEN,DF,Portland Timbers,22-212,1999,2.8,146,15,54,68,27,0,109,1,4,25.0,1,1,55,254,146,6,1,0,2,1,65,61,93.8,2,Matches,da23cdc3
82,Alex Bono,us USA,GK,Toronto FC,28-068,1994,14.0,580,500,574,8,0,0,407,0,0,,0,0,271,1521,808,0,0,0,0,0,209,207,99.0,0,Matches,aa28a396
83,Jonathan Bornstein,us USA,DFFW,Chicago Fire,37-237,1984,5.7,281,14,69,124,100,12,252,1,2,50.0,2,0,160,700,388,20,4,3,9,6,193,166,86.0,15,Matches,79a6c95f
84,Dylan Borrero,co COL,FW,New England,20-178,2002,4.0,170,1,24,84,80,19,167,5,8,62.5,5,1,125,1001,628,21,10,2,7,3,166,129,77.7,23,Matches,a72d14de
85,Gustavo Bou,ar ARG,FW,New England,32-134,1990,7.4,311,2,20,107,200,47,293,12,21,57.1,12,1,229,1183,632,33,9,9,21,13,306,235,76.8,66,Matches,3dfcc735
