Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches,-9999
254,Cristián Gutiérrez,cl CHI,DF,Vancouver,25-134,1997,6.8,442,32,147,201,117,7,383,2,4,50.0,2,1,279,1438,948,29,9,0,4,0,280,264,94.3,3,Matches,6e56a4f2
255,Diego Gutierrez,us USA,FW,Portland Timbers,23-178,1999,0.0,4,0,1,1,2,1,4,0,0,,0,0,3,25,11,1,0,0,1,0,5,3,60.0,2,Matches,4903a306
256,Andrew Gutman,us USA,DF,Atlanta Utd,25-273,1996,11.1,650,34,202,298,188,27,578,12,20,60.0,14,1,410,1783,1157,40,15,6,11,15,444,390,87.8,42,Matches,b7a23251
257,Brad Guzan,us USA,GK,Atlanta Utd,37-296,1984,6.8,261,233,261,1,0,0,198,1,1,100.0,1,0,160,741,380,0,0,0,0,0,133,132,99.2,0,Matches,d899e3bf
258,Justin Haak,us USA,MF,NYCFC,20-293,2001,0.7,40,2,16,18,8,0,40,0,0,,0,0,16,72,45,1,0,0,1,0,25,23,92.0,1,Matches,c644e140
259,Luke Haakenson,us USA,MF,Nashville,24-295,1997,3.6,129,3,28,65,44,11,127,2,2,100.0,2,0,97,545,281,11,4,3,8,3,122,96,78.7,19,Matches,77d28e45
260,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,26-288,1995,11.8,808,148,539,300,29,15,788,3,3,100.0,3,0,487,2852,1346,26,4,0,2,2,522,518,99.2,1,Matches,582952f2
261,Nick Hagglund,us USA,DF,FC Cincinnati,29-291,1992,14.3,701,100,346,333,53,18,680,0,2,0.0,0,0,313,1770,1051,30,7,1,1,3,368,356,96.7,4,Matches,39632554
262,Marlon Hairston,us USA,DF,Columbus Crew,28-101,1994,0.8,44,4,15,20,10,1,38,0,0,,0,0,23,94,24,1,0,0,0,0,25,23,92.0,0,Matches,1d531c57
263,Siad Haji,so SOM,DFFW,San Jose,22-213,1999,0.2,14,1,2,4,10,2,14,2,2,100.0,2,0,14,121,64,4,1,1,0,1,12,10,83.3,2,Matches,9212f1cb
264,Michael Halliday,us USA,MFDF,Orlando City,19-161,2003,0.0,3,0,0,0,3,0,3,0,0,,0,0,3,10,0,0,0,0,1,0,2,2,100.0,0,Matches,6ad5f50e
265,Ahmed Hamdi,eg EGY,MFFW,CF Montréal,24-142,1998,3.6,193,1,23,102,83,12,186,5,11,45.5,6,0,144,726,306,18,4,3,3,10,169,138,81.7,15,Matches,fc7c8d3d
266,Bill Hamid,us USA,GK,D.C. United,31-219,1990,9.5,265,232,264,1,0,0,180,0,0,,0,0,103,402,179,0,0,0,0,0,87,87,100.0,0,Matches,012fc030
267,Niko Hansen,dk DEN,FW,Minnesota Utd,27-291,1994,0.3,15,0,4,3,8,5,13,0,0,,0,0,5,33,27,2,0,1,1,1,15,10,66.7,2,Matches,9bebd450
268,Cameron Harper,us USA,DFFW,NY Red Bulls,20-225,2001,3.1,140,8,29,48,74,14,126,4,12,33.3,5,1,89,499,278,16,3,5,11,5,101,80,79.2,17,Matches,4a78c769
269,Nathan Harriel,us USA,DF,Philadelphia,21-070,2001,14.7,826,87,293,361,191,16,690,5,12,41.7,5,1,309,1526,783,41,10,2,13,7,303,269,88.8,16,Matches,b3edbeff
270,Calvin Harris,eng ENG,FW,FC Cincinnati,22-104,2000,1.8,61,4,8,31,26,6,60,1,1,100.0,1,0,35,260,149,9,3,1,3,1,62,43,69.4,13,Matches,07b0aeef
271,Thomas Hasal,ca CAN,GK,Vancouver,22-358,1999,8.8,220,191,219,1,0,0,146,0,0,,0,0,85,392,211,0,0,0,0,0,62,62,100.0,0,Matches,86bac87b
272,Jacori Hayes,us USA,MFFW,Minnesota Utd,27-003,1995,0.3,19,0,5,9,6,1,19,0,0,,0,0,12,42,21,2,0,1,0,2,12,11,91.7,1,Matches,d2173b7b
273,Héber,br BRA,FW,NYCFC,30-326,1991,4.2,166,5,16,87,72,20,159,1,3,33.3,1,1,94,275,97,5,8,1,8,9,179,113,63.1,38,Matches,d552c4a1
274,Matt Hedges,us USA,DF,FC Dallas,32-092,1990,13.4,890,161,548,360,17,12,860,2,3,66.7,2,0,544,2837,1398,12,1,0,2,2,595,588,98.8,3,Matches,5e2a4d0e
275,Chris Hegardt,us USA,FWMF,Charlotte FC,20-177,2002,0.2,26,0,3,13,14,1,25,1,1,100.0,1,0,21,107,51,2,1,1,0,1,23,22,95.7,4,Matches,99a6142d
276,Doneil Henry,ca CAN,DF,Los Angeles FC,29-073,1993,1.5,105,18,58,51,2,1,104,1,1,100.0,1,0,77,266,138,3,0,0,2,0,79,78,98.7,0,Matches,22636117
277,Fabian Herbers,de GER,FWMF,Chicago Fire,28-319,1993,6.7,354,12,53,160,169,37,348,7,11,63.6,7,2,241,1497,733,36,14,3,16,7,313,241,77.0,43,Matches,5cbf5ccd
278,Felipe Hernandez,us USA,MF,Sporting KC,24-024,1998,11.8,522,7,60,233,265,20,472,9,19,47.4,10,0,339,1488,742,41,20,2,15,8,394,327,83.0,36,Matches,31a4d0b8
279,Javier Hernández,mx MEX,FW,LA Galaxy,34-031,1988,14.5,462,8,18,206,266,73,430,5,11,45.5,5,1,271,1309,640,38,16,4,20,10,516,362,70.2,115,Matches,189cee7b
280,Ronald Hernández,ve VEN,DF,Atlanta Utd,24-284,1997,4.1,292,18,97,158,53,1,249,1,2,50.0,1,0,175,842,523,23,7,1,4,3,197,180,91.4,3,Matches,de907bab
281,Aaron Herrera,us USA,DF,Real Salt Lake,25-026,1997,9.5,658,59,217,294,187,7,570,9,19,47.4,11,2,424,2445,1226,50,13,5,5,10,405,390,96.3,20,Matches,d86e3070
282,Gonzalo Higuaín,ar ARG,FW,Inter Miami,34-204,1987,5.9,240,4,14,115,129,19,190,2,10,20.0,3,0,139,748,345,18,7,4,13,10,240,157,65.4,34,Matches,8a08491a
283,Brendan Hines-Ike,us USA,DF,D.C. United,27-214,1994,13.6,815,103,433,376,88,12,764,2,5,40.0,2,0,482,3807,2241,42,14,1,8,3,518,503,97.1,9,Matches,b807c1dc
284,Bongokuhle Hlongwane,za RSA,FWMF,Minnesota Utd,22-012,2000,7.2,374,11,71,148,186,37,373,11,26,42.3,11,1,270,1533,989,46,13,8,34,25,324,249,76.9,69,Matches,de9952b5
285,Danny Hoesen,nl NED,FW,Austin FC,31-168,1991,1.5,47,2,7,17,23,10,47,1,2,50.0,1,0,25,45,19,1,0,0,6,6,64,33,51.6,4,Matches,5ef1939b
286,Ryan Hollingshead,us USA,DF,Los Angeles FC,31-077,1991,10.2,656,44,231,301,157,19,567,4,8,50.0,4,0,347,1792,1077,46,11,3,12,10,412,371,90.0,20,Matches,28b58797
287,Erik Holt,us USA,DF,Real Salt Lake,25-299,1996,4.4,240,21,93,108,47,11,221,1,1,100.0,1,0,118,398,161,7,2,0,2,4,129,125,96.9,0,Matches,3677d047
288,Jackson Hopkins,us USA,MFFW,D.C. United,18-001,2004,1.9,61,1,7,27,29,9,58,2,6,33.3,3,2,38,140,59,3,0,1,1,4,65,45,69.2,13,Matches,8344adf5
289,Adrien Hunou,fr FRA,FW,Minnesota Utd,28-164,1994,1.4,57,1,2,15,41,4,53,1,2,50.0,1,1,32,64,21,1,1,1,4,3,61,44,72.1,14,Matches,d14229f3
290,Erik Hurtado,us USA,FW,Columbus Crew,31-229,1990,2.2,68,6,10,26,34,14,66,2,6,33.3,2,0,44,118,34,2,0,1,7,4,101,46,45.5,10,Matches,b11e6f2b
291,Emerson Hyndman,us USA,MF,Atlanta Utd,26-084,1996,3.2,235,5,51,155,49,5,230,2,2,100.0,2,0,184,699,311,13,5,0,2,0,196,185,94.4,8,Matches,3be1a627
292,Franco Ibarra,ar ARG,MF,Atlanta Utd,21-065,2001,7.6,476,22,126,299,76,8,467,1,7,14.3,1,0,329,1581,677,32,10,1,12,8,354,338,95.5,10,Matches,db6540c5
293,Sebastien Ibeagha,us USA,DF,Los Angeles FC,30-162,1992,8.7,451,68,278,181,9,6,437,0,0,,0,0,248,1034,358,3,0,0,3,2,276,274,99.3,0,Matches,41ba8175
294,Sunusi Ibrahim,ng NGA,FWMF,CF Montréal,19-274,2002,2.2,77,1,7,35,39,6,75,5,7,71.4,5,0,69,364,231,16,2,2,4,6,88,63,71.6,12,Matches,796994e5
295,James Igbekeme,ng NGA,FWMF,Columbus Crew,26-363,1995,8.1,395,8,67,189,174,18,384,14,20,70.0,14,1,318,1642,822,33,19,2,10,9,331,284,85.8,29,Matches,c9ce0fc8
296,Tega Ikoba,us USA,FW,Portland Timbers,18-322,2003,0.3,8,0,0,7,1,1,7,0,1,0.0,0,0,3,9,0,0,0,0,0,0,6,4,66.7,0,Matches,35d550f2
297,Arnór Ingvi Traustason,is ISL,FWMF,New England,29-063,1993,3.7,179,3,27,73,85,16,177,3,4,75.0,3,0,117,477,273,11,2,2,8,9,162,141,87.0,30,Matches,7d036b4a
298,Nicolas Isimat-Mirin,fr FRA,DF,Sporting KC,30-229,1991,10.8,757,108,396,379,29,9,739,4,4,100.0,4,0,490,2501,1309,30,6,0,3,7,551,537,97.5,5,Matches,14e8e9d7
299,Aljaž Ivačič,si SVN,GK,Portland Timbers,28-185,1993,17.0,503,461,503,0,0,0,313,0,0,,0,0,177,826,427,0,0,0,0,0,159,159,100.0,0,Matches,4d6e50d8
300,Stanislav Ivanov,bg BUL,FWMF,Chicago Fire,23-077,1999,8.5,322,9,52,120,177,31,322,9,22,40.9,10,0,250,1045,631,39,16,3,18,24,313,234,74.8,38,Matches,0cafba94
301,Robin Jansson,se SWE,DF,Orlando City,30-229,1991,13.9,724,136,422,318,39,10,693,2,4,50.0,3,0,443,2949,1765,41,9,0,2,4,476,471,98.9,2,Matches,8ca5c176
302,Franco Jara,ar ARG,FW,FC Dallas,33-352,1988,4.2,177,5,10,83,96,38,168,4,8,50.0,5,1,120,511,227,10,6,1,16,9,206,136,66.0,38,Matches,413cce14
303,Andres Jasson,us USA,DFFW,NYCFC,20-166,2002,2.7,179,14,65,79,47,5,162,4,7,57.1,5,0,121,571,307,12,2,2,2,4,122,108,88.5,7,Matches,31d049b2
304,Cal Jennings,us USA,FW,Los Angeles FC,25-046,1997,0.2,8,0,2,5,3,0,8,1,3,33.3,1,0,7,22,8,1,1,0,1,0,9,6,66.7,2,Matches,44f6672a
305,Hector Jiménez,us USA,DF,Austin FC,33-241,1988,4.9,386,19,86,181,142,2,354,3,5,60.0,4,1,253,1192,694,27,11,0,3,4,262,251,95.8,16,Matches,2dc1e90e
306,Jesús Jiménez,es ESP,FW,Toronto FC,28-239,1993,15.7,520,19,38,245,268,69,473,13,31,41.9,15,3,340,1458,849,48,18,8,25,27,613,381,62.2,110,Matches,1e161d47
307,Sean Johnson,us USA,GK,NYCFC,33-032,1989,16.0,649,577,646,3,0,0,519,0,0,,0,0,380,1028,509,0,0,0,0,0,381,381,100.0,0,Matches,c164335e
308,Alistair Johnston,ca CAN,DF,CF Montréal,23-267,1998,15.2,1009,42,263,536,258,23,864,7,12,58.3,7,1,643,2919,1293,62,18,4,9,11,702,651,92.7,40,Matches,4fb17e20
309,DeJuan Jones,us USA,DF,New England,25-008,1997,15.8,1211,63,367,528,409,39,1067,14,31,45.2,14,2,762,3930,2266,106,44,8,24,15,846,786,92.9,76,Matches,10d1139c
310,Derrick Jones,us USA,MF,Charlotte FC,25-121,1997,1.8,91,9,42,49,8,1,88,3,4,75.0,3,0,62,254,109,0,1,0,2,4,55,52,94.5,1,Matches,93c92d6c
311,Joevin Jones,tt TRI,DFFW,Inter Miami,30-333,1991,0.5,35,1,9,22,7,0,29,1,1,100.0,1,0,24,103,43,1,0,0,1,1,22,17,77.3,0,Matches,fc23d956
312,Jony,ar ARG,FW,Real Salt Lake,28-119,1994,1.6,54,0,6,15,35,7,53,0,4,0.0,1,1,40,284,133,8,1,2,3,1,56,34,60.7,9,Matches,60665492
313,Dejan Joveljić,rs SRB,FWMF,LA Galaxy,22-329,1999,3.5,124,0,5,47,75,32,120,8,9,88.9,8,0,82,221,98,6,0,2,15,6,152,94,61.8,34,Matches,95a24690
314,Kamil Jóźwiak,pl POL,MFFW,Charlotte FC,24-071,1998,2.9,118,0,11,42,74,18,114,4,6,66.7,5,1,86,642,393,23,5,4,2,6,114,88,77.2,23,Matches,bd4e3824
315,Judson,br BRA,MF,San Jose,29-038,1993,1.7,113,10,43,68,4,0,111,0,1,0.0,0,0,75,269,102,0,0,0,0,1,71,70,98.6,2,Matches,e1535f82
316,Anderson Julio,ec ECU,FW,Real Salt Lake,26-032,1996,0.7,21,0,2,7,12,4,21,0,1,0.0,0,0,12,88,62,4,0,1,2,0,23,15,65.2,7,Matches,f907a6a8
317,Florian Jungwirth,de GER,DFMF,Vancouver,33-156,1989,7.5,414,69,214,210,15,2,380,1,1,100.0,1,0,203,953,585,19,1,0,1,0,257,251,97.7,1,Matches,f179c207
318,Sam Junqua,us USA,DF,Houston Dynamo,25-235,1996,1.7,103,7,47,49,19,2,92,1,1,100.0,1,0,60,407,308,15,5,1,0,1,66,63,95.5,1,Matches,91981d97
319,Chris Kablan,ch SUI,MF,Real Salt Lake,27-214,1994,0.0,2,0,1,1,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,Matches,04159652
320,Kristijan Kahlina,hr CRO,GK,Charlotte FC,29-343,1992,17.0,731,650,730,1,0,0,600,0,0,,0,0,434,2032,1294,0,0,0,1,0,431,430,99.8,0,Matches,53e360bb
321,Brent Kallman,us USA,DF,Minnesota Utd,31-271,1990,6.5,276,55,186,97,7,6,269,0,0,,0,0,136,739,330,6,0,0,2,1,136,132,97.1,1,Matches,2b24702b
322,Kei Kamara,sl SLE,FW,CF Montréal,37-304,1984,9.5,364,14,29,198,162,43,347,7,16,43.8,7,0,208,1103,466,21,11,6,30,16,416,265,63.7,60,Matches,6e3f3809
323,Ola Kamara,no NOR,FW,D.C. United,32-260,1989,8.2,257,5,14,114,143,36,243,2,6,33.3,2,1,170,824,429,33,4,10,28,10,350,200,57.1,58,Matches,e134351a
324,Alec Kann,us USA,GK,FC Cincinnati,31-328,1990,7.0,197,172,195,2,0,0,116,0,0,,0,0,70,413,236,0,0,0,0,0,44,44,100.0,0,Matches,4a8af93c
325,Johan Kappelhof,nl NED,DF,Real Salt Lake,31-331,1990,1.0,60,7,29,33,3,1,56,0,0,,0,0,32,216,118,4,1,0,0,0,35,35,100.0,1,Matches,465015a5
326,Wilfrid Kaptoum,cm CMR,MF,New England,25-360,1996,5.3,295,10,80,186,53,3,294,4,8,50.0,4,0,207,1074,515,17,5,0,3,9,224,212,94.6,8,Matches,d717630e
327,Ercan Kara,at AUT,FW,Orlando City,26-180,1996,11.2,283,13,27,136,129,49,259,4,9,44.4,4,1,133,557,218,14,3,4,34,16,379,195,51.5,59,Matches,540c9a17
328,Mark-Anthony Kaye,ca CAN,MF,Colorado Rapids,27-212,1994,13.2,748,22,156,466,169,16,731,10,18,55.6,12,2,517,2289,1193,65,17,3,25,17,537,500,93.1,26,Matches,36a38acd
329,Kipp Keller,us USA,DF,Austin FC,21-353,2000,2.7,195,41,128,60,14,0,190,0,0,,0,0,131,638,285,3,1,0,0,2,137,135,98.5,0,Matches,fe5fea9f
330,Jon Kempin,us USA,GK,D.C. United,29-085,1993,2.0,56,51,56,0,0,0,29,0,0,,0,0,19,61,41,0,0,0,0,0,9,9,100.0,0,Matches,063adc5e
331,Deandre Kerr,ca CAN,MFFW,Toronto FC,19-225,2002,8.1,273,8,40,149,121,24,271,12,22,54.5,12,1,197,1239,788,43,17,6,11,26,302,199,65.9,42,Matches,a3e85f7b
332,Henry Kessler,us USA,DF,New England,24-007,1998,6.0,498,56,292,215,15,10,486,0,0,,0,0,351,1828,846,9,1,0,1,0,343,339,98.8,1,Matches,23c75879
333,Benjamin Kikanovic,us USA,FWMF,San Jose,22-177,2000,4.3,200,0,16,98,110,17,192,7,15,46.7,9,1,157,748,320,26,7,3,11,18,193,148,76.7,24,Matches,fe11d61b
334,Patryk Klimala,pl POL,FW,NY Red Bulls,23-331,1998,11.0,333,4,14,133,205,85,320,7,25,28.0,10,2,202,1029,527,32,7,11,31,25,498,242,48.6,94,Matches,0bf3c11c
335,Sacha Kljestan,us USA,MF,LA Galaxy,36-296,1985,2.7,242,4,46,120,89,6,227,1,4,25.0,3,0,142,853,490,20,2,0,2,4,201,190,94.5,13,Matches,73682895
336,Brad Knighton,us USA,GK,New England,37-146,1985,4.0,101,88,101,1,0,0,72,0,0,,0,0,39,201,124,0,0,0,0,0,35,35,100.0,0,Matches,9903a3cb
337,Žan Kolmanič,si SVN,DF,Austin FC,22-121,2000,8.9,635,21,230,284,167,7,519,3,8,37.5,3,1,369,1788,1107,45,12,1,6,3,422,404,95.7,14,Matches,4501fd21
338,Ismaël Koné,ca CAN,MF,CF Montréal,20-026,2002,9.0,450,8,94,272,128,7,445,11,20,55.0,13,4,342,1831,749,30,14,0,11,13,380,337,88.7,22,Matches,e0220b70
339,Damir Kreilach,hr CRO,MFFW,Real Salt Lake,33-077,1989,3.3,163,8,19,92,53,13,158,1,3,33.3,1,0,92,296,115,5,0,1,6,3,162,124,76.5,12,Matches,068be155
340,Theodore Ku-Dipietro,us USA,MFFW,D.C. United,20-155,2002,0.3,14,0,2,8,6,0,13,2,4,50.0,3,1,10,54,41,1,1,0,3,1,17,11,64.7,3,Matches,ef7c10e0
341,Yuya Kubo,jp JPN,MF,FC Cincinnati,28-190,1993,7.8,430,17,108,236,121,8,424,6,16,37.5,8,0,287,1924,1029,44,21,1,17,11,291,264,90.7,17,Matches,cba16a46
342,Jojea Kwizera,cg CGO,DFMF,CF Montréal,23-182,1999,0.2,22,0,0,8,15,1,22,2,2,100.0,2,0,22,123,59,5,1,0,0,1,19,16,84.2,2,Matches,cc61360d
343,Lassi Lappalainen,fi FIN,DF,CF Montréal,23-312,1998,12.2,664,17,119,297,290,42,574,20,37,54.1,21,2,449,2380,1314,69,16,11,19,27,532,419,78.8,64,Matches,bcb2282d
344,Jesús David Murillo Largacha,co COL,DF,Los Angeles FC,28-134,1994,12.7,752,109,476,294,25,11,727,1,4,25.0,1,0,447,2927,1355,17,1,0,1,5,462,454,98.3,4,Matches,68d48a71
345,Ariel Lassiter,cr CRC,FWMF,Inter Miami,27-278,1994,11.3,427,10,52,166,248,43,416,8,18,44.4,11,4,334,2282,1492,83,27,19,25,14,450,324,72.0,72,Matches,bd7b916c
346,Vuk Latinovich,us USA,DF,NYCFC,24-291,1997,0.2,16,5,14,2,0,0,16,0,0,,0,0,9,28,3,0,0,0,0,0,10,10,100.0,0,Matches,5c0e047a
347,Kemar Lawrence,jm JAM,DF,Minnesota Utd,29-288,1992,12.0,671,68,220,296,182,19,566,2,6,33.3,2,1,344,1182,657,32,8,3,7,7,381,351,92.1,23,Matches,80be3efe
348,Randall Leal,cr CRC,MFFW,Nashville,25-169,1997,9.9,455,13,96,222,172,26,449,13,18,72.2,14,2,335,1946,1054,61,13,9,12,15,368,304,82.6,46,Matches,874a5031
349,Kelvin Leerdam,sr SUR,DFMF,LA Galaxy,32-008,1990,4.3,274,10,88,127,74,3,240,3,3,100.0,3,0,164,580,226,7,4,0,4,1,180,171,95.0,9,Matches,d8b47705
350,Brooks Lennon,us USA,DFFW,Atlanta Utd,24-283,1997,13.0,868,28,208,330,378,54,714,3,8,37.5,3,1,507,2258,980,49,17,7,10,13,614,537,87.5,69,Matches,ec80ba72
351,Jonathan Lewis,us USA,FW,Colorado Rapids,25-028,1997,12.1,364,3,30,160,200,52,356,21,33,63.6,22,0,295,1745,1045,55,12,17,31,18,403,263,65.3,88,Matches,2501eb59
352,Danny Leyva,us USA,MF,Seattle,19-058,2003,1.2,107,2,17,68,27,1,100,3,4,75.0,3,0,79,313,149,4,2,1,2,2,85,79,92.9,2,Matches,ecc3a9c9
353,Azaad Liadi,us USA,MF,D.C. United,24-049,1998,0.1,8,0,0,2,6,3,8,1,1,100.0,1,0,5,3,0,0,0,0,0,0,6,5,83.3,1,Matches,ba702426
354,Nick Lima,us USA,DF,Austin FC,27-227,1994,11.9,780,42,295,340,189,12,669,9,16,56.3,10,0,484,2035,1057,39,13,1,9,9,522,491,94.1,16,Matches,959686eb
355,Jaylin Lindsey,us USA,DF,Charlotte FC,22-097,2000,13.7,947,49,295,457,252,11,793,6,13,46.2,7,1,573,2854,1655,64,26,1,10,10,619,576,93.1,20,Matches,83cb6e59
356,Sebastian Lletget,us USA,MFFW,New England,29-302,1992,11.7,583,11,96,289,227,50,577,9,23,39.1,10,1,409,1936,889,48,15,3,19,15,526,445,84.6,59,Matches,73019c31
357,Robin Lod,fi FIN,FW,Minnesota Utd,29-076,1993,15.3,637,20,94,266,314,66,617,19,43,44.2,21,6,426,2108,1012,55,15,5,34,20,598,435,72.7,97,Matches,33c69aa0
358,Nicolás Lodeiro,uy URU,MF,Seattle,33-103,1989,8.8,769,9,86,445,291,23,714,5,12,41.7,5,1,545,2313,1081,49,22,2,14,20,687,598,87.0,49,Matches,fe81d0d1
359,Jasper Löeffelsend,us USA,MF,Real Salt Lake,24-266,1997,7.4,363,12,85,193,111,8,362,10,13,76.9,10,0,256,1549,767,32,10,3,8,8,264,236,89.4,22,Matches,ce037639
360,Aaron Long,us USA,DF,NY Red Bulls,29-263,1992,13.8,694,65,321,353,52,28,668,3,4,75.0,4,0,375,1851,820,15,1,0,6,2,384,369,96.1,7,Matches,46b89640
361,Marcos López,pe PER,DF,San Jose,22-224,1999,10.4,756,39,225,381,204,12,677,5,11,45.5,5,1,506,2652,1410,48,26,0,13,7,528,505,95.6,23,Matches,9b3ab988
362,Marvin Loría,cr CRC,FWMF,Portland Timbers,25-069,1997,4.8,295,15,51,121,144,20,267,10,16,62.5,11,0,208,1068,517,27,4,2,11,13,242,197,81.4,32,Matches,71380d87
363,Daniel Lovitz,us USA,DF,Nashville,30-309,1991,14.0,779,43,252,372,216,13,664,10,16,62.5,11,1,440,2357,1416,57,17,1,8,3,492,461,93.7,28,Matches,db97d838
364,Damion Lowe,jm JAM,DF,Inter Miami,29-058,1993,13.7,832,181,593,259,18,10,806,3,4,75.0,3,0,507,2715,1056,8,2,0,5,7,501,492,98.2,0,Matches,b6e2e54c
365,Everton Luiz,br BRA,MF,Real Salt Lake,34-039,1988,4.8,180,12,53,111,27,2,175,3,5,60.0,3,0,120,741,319,12,4,2,1,6,111,102,91.9,0,Matches,3799e138
366,Diego Luna,us USA,MF,Real Salt Lake,18-298,2003,0.0,2,0,0,1,1,0,1,1,1,100.0,1,0,2,4,4,0,0,0,0,0,1,1,100.0,0,Matches,e67f8af0
367,Adam Lundqvist,se SWE,DF,Houston Dynamo,28-104,1994,15.4,959,59,406,389,230,10,822,11,15,73.3,11,1,592,2734,1716,48,17,5,9,6,585,565,96.6,25,Matches,91769a24
368,Luquinhas,br BRA,MFFW,NY Red Bulls,25-277,1996,9.9,380,5,32,174,220,35,380,15,26,57.7,16,1,307,1929,1293,75,30,9,15,24,317,265,83.6,55,Matches,85937928
369,Jack Lynn,us USA,MF,Orlando City,22-171,2000,0.0,2,0,0,0,2,0,2,0,1,0.0,0,0,0,0,0,0,0,0,1,0,3,2,66.7,1,Matches,c81d718e
370,Larrys Mabiala,cd COD,DF,Portland Timbers,34-267,1987,7.3,465,97,272,208,13,3,454,1,2,50.0,1,0,274,1586,901,18,5,0,0,3,301,294,97.7,1,Matches,5bdec47f
371,Aimé Mabika,zm ZAM,DF,Inter Miami,23-320,1998,4.4,174,52,135,44,5,3,170,0,1,0.0,0,0,88,482,203,0,0,0,1,0,100,100,100.0,0,Matches,3a37d349
372,Maciel,br BRA,MF,New England,22-165,2000,2.6,160,6,46,95,24,0,157,0,2,0.0,0,0,106,411,183,5,2,0,3,2,108,100,92.6,2,Matches,a39d51e0
373,Zac MacMath,us USA,GK,Real Salt Lake,30-329,1991,17.0,636,529,629,8,0,0,444,0,0,,0,0,300,1903,1076,0,0,0,0,0,225,221,98.2,0,Matches,06caac45
374,Lukas MacNaughton,us USA,DF,Toronto FC,27-116,1995,8.3,474,72,278,198,22,5,449,3,4,75.0,3,0,271,1353,634,18,3,0,1,1,281,277,98.6,2,Matches,b6111d16
375,Talles Magno,br BRA,FW,NYCFC,20-006,2002,13.9,768,15,97,333,399,97,767,38,65,58.5,42,3,616,3462,2295,126,30,27,39,37,738,587,79.5,138,Matches,64c98878
376,Jack Maher,us USA,DF,Nashville,22-247,1999,13.0,680,98,410,295,15,5,652,1,1,100.0,1,1,410,1780,758,14,2,0,0,3,446,440,98.7,0,Matches,0c6f2fa6
377,Christian Makoun,ve VEN,DF,Charlotte FC,22-119,2000,8.9,599,126,414,209,11,5,570,2,2,100.0,2,0,387,2360,1037,19,2,0,3,1,402,399,99.3,1,Matches,7efffe65
378,Machop Malual,ss SSD,DF,Atlanta Utd,23-230,1998,0.1,11,0,3,3,6,0,9,0,2,0.0,0,0,6,27,20,2,0,0,0,1,9,8,88.9,1,Matches,1701b012
379,J.T. Marcinkowski,us USA,GK,San Jose,25-054,1997,16.0,556,483,553,4,0,0,412,0,0,,0,0,276,1149,655,0,0,0,0,0,227,227,100.0,0,Matches,977791f4
380,Paul Marie,fr FRA,DF,San Jose,27-100,1995,12.9,859,46,241,457,228,23,759,14,34,41.2,17,3,574,3047,1971,75,21,4,13,22,571,525,91.9,32,Matches,da0bb55a
381,Anthony Markanich,us USA,DF,Colorado Rapids,22-188,1999,1.6,87,3,22,41,30,9,76,2,3,66.7,2,0,48,249,87,2,2,0,0,1,64,49,76.6,9,Matches,565fde4a
382,Nick Markanich,us USA,FWMF,FC Cincinnati,22-188,1999,1.2,68,7,16,21,35,9,68,1,2,50.0,1,1,30,154,61,4,1,1,5,3,56,37,66.1,10,Matches,65988c73
383,George Marks,us USA,GK,Charlotte FC,22-234,1999,1.0,35,31,34,0,1,0,29,0,0,,0,0,22,95,34,0,0,0,0,0,23,23,100.0,0,Matches,e75f9dba
384,Jahkeele Marshall-Rutty,ca CAN,DF,Toronto FC,18-016,2004,3.0,232,11,84,104,63,5,207,5,7,71.4,5,0,160,956,516,15,7,1,3,2,152,142,93.4,7,Matches,b9459f85
385,Nick Marsman,nl NED,GK,Inter Miami,31-274,1990,5.0,198,179,198,0,0,0,138,0,0,,0,0,87,452,207,0,0,0,0,0,86,86,100.0,0,Matches,f352799f
386,Josef Martínez,ve VEN,FW,Atlanta Utd,29-044,1993,7.3,196,5,10,97,96,27,180,1,3,33.3,2,0,126,489,260,15,5,2,15,5,242,147,60.7,40,Matches,e73f0aa1
387,Luís Martins,pt POR,DF,Vancouver,30-022,1992,1.4,71,7,22,26,25,3,63,1,2,50.0,1,1,41,125,68,3,1,0,0,1,49,46,93.9,2,Matches,56b7c09b
388,Thiago Martins,br BRA,DF,NYCFC,27-107,1995,10.9,724,140,499,248,15,7,701,2,2,100.0,2,0,455,2443,1144,11,1,0,1,0,477,473,99.2,0,Matches,4d6ec370
389,Alexandru Mățan,ro ROU,FWMF,Columbus Crew,22-307,1999,0.4,39,0,4,11,27,6,36,2,2,100.0,2,0,33,190,117,7,0,1,2,5,32,32,100.0,7,Matches,3bd3bcc4
390,Rónald Matarrita,cr CRC,DF,FC Cincinnati,27-358,1994,1.9,111,4,30,52,38,2,96,2,9,22.2,2,1,72,320,190,10,0,1,1,0,75,71,94.7,4,Matches,491862dd
