Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
56,Michael Baldisimo,ca CAN,MF,Vancouver,22-079,2000,3.5,0,2,1,50.0,0.58,0.29,0.00,0.00,38.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,894b41c5
57,Tom Barlow,us USA,FW,NY Red Bulls,26-358,1995,7.5,2,19,8,42.1,2.54,1.07,0.11,0.25,10.3,0,0,0,4.1,4.1,0.21,-2.1,-2.1,Matches,da4821de
58,Álvaro Barreal,ar ARG,FWDF,FC Cincinnati,21-318,2000,9.1,2,17,9,52.9,1.88,0.99,0.12,0.22,20.3,0,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches,ffca53e1
59,Michael Barrios,co COL,FW,Colorado Rapids,31-071,1991,10.1,1,26,6,23.1,2.58,0.60,0.04,0.17,15.6,0,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches,df782c79
60,Ethan Bartlow,us USA,DFMF,Houston Dynamo,22-149,2000,5.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,552898bd
61,Zorhan Bassong,ca CAN,DF,CF Montréal,23-055,1999,1.9,0,2,0,0.0,1.03,0.00,0.00,,7.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,6297d826
62,Tanner Beason,us USA,DF,San Jose,25-100,1997,9.2,0,1,0,0.0,0.11,0.00,0.00,,10.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,3f1b018e
63,Alejandro Bedoya,us USA,MF,Philadelphia,35-063,1987,15.9,3,20,7,35.0,1.26,0.44,0.15,0.43,16.1,0,0,0,1.6,1.6,0.08,+1.4,+1.4,Matches,9a6f8dfd
64,Steven Beitashour,ir IRN,DF,Colorado Rapids,35-150,1987,6.7,0,3,0,0.0,0.45,0.00,0.00,,19.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,64f1680a
65,Jon Bell,us USA,DF,New England,24-309,1997,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,658a3134
66,Ben Bender,us USA,MF,Charlotte FC,21-116,2001,12.0,3,19,6,31.6,1.58,0.50,0.16,0.50,16.7,0,0,0,2.3,2.3,0.12,+0.7,+0.7,Matches,bc307884
67,Sebastian Berhalter,us USA,MF,Vancouver,21-045,2001,8.9,0,9,2,22.2,1.01,0.22,0.00,0.00,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,f33ee427
68,Miguel Berry,es ESP,FW,Columbus Crew,24-288,1997,10.8,2,19,4,21.1,1.76,0.37,0.11,0.50,13.4,1,0,0,2.6,2.6,0.14,-0.6,-0.6,Matches,a5532e80
69,Nick Besler,us USA,MFDF,Real Salt Lake,29-055,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cc9fa1a8
70,Victor Bezerra,us USA,FW,Chicago Fire,22-146,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cbfb6ca5
71,David Bingham,us USA,GK,Portland Timbers,32-255,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7fd42a85
72,Steve Birnbaum,us USA,DF,D.C. United,31-159,1991,15.0,0,11,2,18.2,0.73,0.13,0.00,0.00,9.2,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,26637ac8
73,Tyler Blackett,eng ENG,DF,FC Cincinnati,28-090,1994,11.4,0,5,1,20.0,0.44,0.09,0.00,0.00,10.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,a68a5466
74,Tristan Blackmon,us USA,DF,Vancouver,25-323,1996,8.9,1,4,1,25.0,0.45,0.11,0.25,1.00,7.9,0,0,0,1.0,1.0,0.25,0.0,0.0,Matches,7f35d14e
75,Andre Blake,jm JAM,GK,Philadelphia,31-222,1990,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3b21a11
76,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34-108,1988,9.4,3,26,8,30.8,2.76,0.85,0.08,0.25,20.0,0,1,1,2.6,1.8,0.07,+0.4,+0.2,Matches,4ddd0834
77,Latif Blessing,gh GHA,MF,Los Angeles FC,25-183,1996,7.8,0,8,1,12.5,1.03,0.13,0.00,0.00,13.2,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches,5153d32e
78,Emmanuel Boateng,gh GHA,FWMF,New England,28-165,1994,5.7,2,5,2,40.0,0.88,0.35,0.40,1.00,11.1,0,0,0,1.0,1.0,0.21,+1.0,+1.0,Matches,25f77a5f
79,Blake Bodily,us USA,DFFW,Portland Timbers,24-169,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,612a0951
80,Jonathan Bond,eng ENG,GK,LA Galaxy,29-043,1993,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c3a86eea
81,Pablo Bonilla,ve VEN,DF,Portland Timbers,22-211,1999,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,da23cdc3
82,Alex Bono,us USA,GK,Toronto FC,28-067,1994,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,aa28a396
83,Jonathan Bornstein,us USA,DFFW,Chicago Fire,37-236,1984,5.7,1,3,1,33.3,0.52,0.17,0.33,1.00,14.4,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches,79a6c95f
84,Dylan Borrero,co COL,FW,New England,20-177,2002,4.0,1,9,2,22.2,2.28,0.51,0.11,0.50,17.1,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches,a72d14de
85,Gustavo Bou,ar ARG,FW,New England,32-133,1990,7.4,3,35,11,31.4,4.76,1.50,0.06,0.18,19.2,1,1,1,3.1,2.4,0.07,-0.1,-0.4,Matches,3dfcc735
86,Ousseni Bouda,bf BFA,FW,San Jose,22-064,2000,1.2,0,5,1,20.0,4.33,0.87,0.00,0.00,14.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,0672f944
87,Michael Boxall,nz NZL,DF,Minnesota Utd,33-317,1988,15.0,0,5,0,0.0,0.33,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,6bfa0d3a
88,Michael Bradley,us USA,MF,Toronto FC,34-335,1987,16.9,1,7,2,28.6,0.41,0.12,0.14,0.50,19.3,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,fd5e3a73
89,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23-183,1998,3.7,2,3,2,66.7,0.82,0.54,0.67,1.00,9.2,0,0,0,1.0,1.0,0.32,+1.0,+1.0,Matches,948a58c2
90,Claudio Bravo,ar ARG,DF,Portland Timbers,25-110,1997,10.7,0,14,1,7.1,1.31,0.09,0.00,0.00,25.0,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches,5619c5e8
91,Brenner,br BRA,FW,FC Cincinnati,22-166,2000,7.2,4,25,11,44.0,3.49,1.53,0.16,0.36,12.7,0,0,0,4.4,4.4,0.18,-0.4,-0.4,Matches,279508bf
92,Sebastian Breza,ca CAN,GK,CF Montréal,24-108,1998,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,52e7f812
93,Emiliano Brienza,ca CAN,FW,Vancouver,20-053,2002,0.0,0,1,0,0.0,30.00,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,b54cf257
94,Andrew Brody,us USA,DF,Real Salt Lake,27-059,1995,16.3,1,3,1,33.3,0.18,0.06,0.33,1.00,15.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,33e46323
95,Brandt Bronico,us USA,MF,Charlotte FC,27-011,1995,15.7,0,2,0,0.0,0.13,0.00,0.00,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bd4460b1
96,Javain Brown,jm JAM,DF,Vancouver,23-114,1999,11.9,0,3,0,0.0,0.25,0.00,0.00,,10.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,3d14c62e
97,Will Bruin,us USA,FW,Seattle,32-250,1989,4.3,2,9,3,33.3,2.08,0.69,0.22,0.67,9.7,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Matches,87a6ac29
98,Adam Buksa,pl POL,FW,New England,25-354,1996,9.1,7,35,14,40.0,3.87,1.55,0.20,0.50,9.5,0,0,0,3.7,3.7,0.10,+3.3,+3.3,Matches,3b676989
99,Teal Bunbury,us USA,FW,Nashville,32-124,1990,1.3,0,3,1,33.3,2.27,0.76,0.00,0.00,14.4,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,3077fce8
100,Nkosi Burgess,us USA,DF,FC Dallas,25-111,1997,7.0,0,1,0,0.0,0.14,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,4a07ae31
101,Cory Burke,jm JAM,FW,Philadelphia,30-185,1991,6.9,3,21,11,52.4,3.05,1.60,0.14,0.27,11.8,0,0,0,3.2,3.2,0.15,-0.2,-0.2,Matches,39fde61c
102,Handwalla Bwana,so SOM,FW,Nashville,25-006,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b56080ee
103,Brandon Bye,us USA,DF,New England,26-214,1995,13.0,2,13,4,30.8,1.00,0.31,0.15,0.50,11.6,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches,9fcd12af
104,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22-356,1999,9.7,0,15,6,40.0,1.55,0.62,0.00,0.00,12.9,0,0,0,2.0,2.0,0.13,-2.0,-2.0,Matches,42af215b
105,Deiber Caicedo,co COL,FWMF,Vancouver,22-098,2000,10.9,1,19,4,21.1,1.74,0.37,0.05,0.25,18.5,1,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,9bfa2f52
106,Scott Caldwell,us USA,MF,Real Salt Lake,31-108,1991,9.9,0,1,0,0.0,0.10,0.00,0.00,,21.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,4a54592d
107,Drake Callender,us USA,GK,Inter Miami,24-267,1997,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c4d9567d
108,Alexander Callens,pe PER,DF,NYCFC,30-058,1992,16.0,3,15,6,40.0,0.94,0.37,0.20,0.50,10.7,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches,af34f10d
109,Francisco Calvo,cr CRC,DF,San Jose,29-358,1992,13.0,2,16,6,37.5,1.23,0.46,0.13,0.33,14.5,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches,706bd23f
110,Rudy Camacho,fr FRA,DF,CF Montréal,31-118,1991,15.0,1,5,1,20.0,0.33,0.07,0.20,1.00,11.4,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,6ad16d47
111,Geoff Cameron,us USA,DF,FC Cincinnati,36-355,1985,9.7,0,2,1,50.0,0.21,0.10,0.00,0.00,11.2,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches,1a160ea3
112,Leonardo Campana,ec ECU,FW,Inter Miami,21-342,2000,11.9,7,35,16,45.7,2.95,1.35,0.20,0.44,13.0,0,0,0,5.5,5.5,0.16,+1.5,+1.5,Matches,bf9c0749
113,George Campbell,us USA,DF,Atlanta Utd,21-009,2001,9.9,0,6,2,33.3,0.61,0.20,0.00,0.00,11.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,45e1a597
114,Russell Canouse,us USA,MF,D.C. United,27-020,1995,9.5,1,4,2,50.0,0.42,0.21,0.25,0.50,8.6,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches,ec730d9a
115,Nathan Cardoso,br BRA,DF,San Jose,27-049,1995,8.2,1,7,2,28.6,0.85,0.24,0.14,0.50,9.7,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches,d4438745
116,Antonio Carlos,br BRA,DF,Orlando City,29-116,1993,5.7,0,5,1,20.0,0.88,0.18,0.00,0.00,9.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,949fe1e8
117,Julián Carranza,ar ARG,FW,Philadelphia,22-040,2000,11.2,4,27,11,40.7,2.41,0.98,0.11,0.27,14.0,1,1,1,4.8,4.1,0.15,-0.8,-1.1,Matches,3e9ae1db
118,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23-215,1998,11.6,1,13,2,15.4,1.12,0.17,0.08,0.50,21.3,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,f087912d
119,Javier Casas,us USA,MF,Chicago Fire,19-048,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2ed8d81b
120,Julio Cascante,cr CRC,DF,Austin FC,28-271,1993,16.0,1,14,2,14.3,0.87,0.12,0.07,0.50,13.5,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Matches,cc120b4f
121,Cristian Cásseres Jr.,ve VEN,MFFW,NY Red Bulls,22-162,2000,11.1,1,22,5,22.7,1.98,0.45,0.05,0.20,21.9,2,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches,f86fe8c1
122,Valentín Castellanos,ar ARG,FW,NYCFC,23-271,1998,12.6,8,50,17,34.0,3.98,1.35,0.08,0.24,15.5,2,4,4,10.2,7.2,0.14,-2.2,-3.2,Matches,da76bab4
123,Lucas Cavallini,ca CAN,FW,Vancouver,29-185,1992,10.7,5,36,11,30.6,3.36,1.03,0.08,0.27,15.0,1,2,2,4.8,3.2,0.09,+0.2,-0.2,Matches,dd8de641
124,Roman Celentano,us USA,GK,FC Cincinnati,21-290,2000,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,42ba8628
125,Darwin Cerén,sv SLV,MF,Houston Dynamo,32-182,1989,7.5,0,5,2,40.0,0.67,0.27,0.00,0.00,23.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,a58de3f0
126,Edwin Cerrillo,us USA,MF,FC Dallas,21-271,2000,8.7,0,2,0,0.0,0.23,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,bd060315
127,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31-074,1991,11.0,1,17,7,41.2,1.54,0.63,0.06,0.14,14.9,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches,04cc9edd
128,Maxime Chanot,lu LUX,DF,NYCFC,32-222,1989,3.7,0,3,0,0.0,0.81,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,ca366055
129,Diego Chará,co COL,MF,Portland Timbers,36-087,1986,14.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6260cc9d
130,Yimmi Chará,co COL,MFFW,Portland Timbers,31-090,1991,17.3,4,32,11,34.4,1.84,0.63,0.13,0.36,15.5,0,0,0,4.1,4.1,0.13,-0.1,-0.1,Matches,9df9baab
